"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Challenges","ChallengeRestrictions","","HUDText","A driver required for the challenge has left the team.","PSG_10012278","","","","","","","Un pilote requis pour le défi a quitté l'écurie.","Un pilota necessario per la sfida ha lasciato la scuderia.","Ein für die Herausforderung benötigter Fahrer hat das Team verlassen.","Un piloto requerido por el desafío ha abandonado el equipo.","Um piloto necessário para o desafio saiu da equipe.","Een coureur die nodig is voor de uitdaging heeft het team verlaten.","A kihíváshoz szükséges egyik versenyző elhagyta a csapatot.","Kierowca potrzebny do tego wyzwania opuścił zespół.","Пилот, необходимый для участия в испытании, покинул команду!"
"Challenges","ChallengeRestrictions","","HUDText","You have left the team!","PSG_10012279","","","","","","","Vous avez quitté l'écurie !","Hai lasciato la scuderia!","Sie haben das Team verlassen!","¡Has abandonado el equipo!","Você saiu da equipe!","Je hebt het team verlaten!","Elhagytad a csapatot!","Opuszczasz zespół!","Вы покинули команду!"
"Challenges","ChallengePack","","HUDText","Daddy's Boy","PSG_10012175","","","","","","","Le fils à papa","Cocco di papà","Papas Liebling","Niño de papá","Filhinho de papai","Papa's lieveling","Apuci kisfia","Ukochane dziecko","Папенькин сынок"
"Challenges","ChallengePack","","HUDText","It’s crisis mode at Hammer AMR: chairman Bobby Stone has placed his son, Bobby Jr., in the number 1 seat! You’ve got the unenviable job of winning the season while keeping the Stone family happy.","PSG_10012176","","","","","","","Hammer AMR est en pleine crise : le président, Bobby Stone, a placé son fils, Bobby Jr., en tête d'affiche ! Vous avez la tâche peu envieuse de remporter la saison tout en gardant la famille Stone heureuse et satisfaite.","Tira aria di crisi alla Hammer AMR: il presidente Bobby Stone ha scelto suo figlio, Bobby Jr., come pilota numero 1! Hai lo sgradito compito di vincere il titolo e allo stesso tempo mantenere la famiglia Stone soddisfatta.","Bei Hammer AMR geht es ums Ganze: der Vorsitzende Bobby Stone hat seinen Sohn, Bobby Jr., auf den Hauptfahrerplatz gesetzt! Sie haben nun die undankbare Aufgabe, die Saison zu gewinnen und gleichzeitig die Familie Stone bei Laune zu halten.","Hammer AMR está en crisis. ¡Su presidente, Bobby Stone, ha puesto a su hijo Bobby Jr. como piloto principal! Tienes la nada envidiable tarea de ganar esta temporada sin cabrear a la familia Stone.","A Hammer AMR está em crise: o presidente Bobby Stone nomeou seu filho, Bobby Jr., como piloto número um! Você tem o trabalho nada invejável de vencer a temporada enquanto mantém a família Stone satisfeita.","Het is crisis bij Hammer AMR: voorzitter Bobby Stone heeft zijn zoon Bobby Jr. in de nummer 1-stoel gezet! Aan jou de niet-benijdenswaardige taak om het seizoen te winnen en tegelijkertijd de familie Stone tevreden te houden.","Válság a Hammer AMR-nál: Bobby Stone elnök fiát, Bobby Jr.-t ültette az első számú pilótaülésbe! Az a nem éppen irigylésre méltó feladat jutott neked, hogy megnyerd a szezont, miközben a Stone család elégedettségét is meg kell őrizned!","Kryzys w Hammer AMR: Prezes Bobby Stone posadził swojego syna, Bobby’ego juniora, na fotelu pierwszego kierowcy! Przed tobą trudne zadanie, musisz bowiem wygrać sezon przy jednoczesnym podlizywaniu się rodzinie Stone’ów.","В Hammer AMR кризис: председатель Бобби Стоун назначил своего сына, Бобби Младшего, управляющим! Вас ждет незавидная задача: одержать победу в сезоне и сделать так, чтобы семья Стоунов осталась довольна."
"Challenges","ChallengePack","","HUDText","Win the 2017 IGTC Teams' Championship in one season as Hammer AMR. Bobby Stone Jr. has the ‘Daddy’s Boy’ trait: he cannot be fired and his morale directly impacts the chairman’s morale. The player cannot switch teams.","PSG_10012177","","","","","","","Remportez le Championnat des écuries CIGT lors d'une saison en tant que Hammer AMR. Bobby Stone Jr. possède le trait de caractère « Fils à papa » : il ne peut être licencié, son moral influe directement sur celui du président. Le joueur ne peut pas changer d'écurie.","Vinci il Campionato costruttori del CIGT 2017 con la Hammer AMR. Bobby Stone Jr. ha la caratteristica ""Cocco di papà"": non si può licenziare e il suo morale influisce direttamente su quello del presidente. Il giocatore non può cambiare scuderia.","Gewinnen Sie die IGTC-Teammeisterschaft 2017 in einer Saison mit Hammer AMR. Bobby Stone Jr. hat die Eigenschaft „Papas Liebling“: er kann nicht gefeuert werden und seine Zufriedenheit beeinflusst die Zufriedenheit des Vorsitzenden direkt. Der Spieler darf das Team nicht wechseln.","Vence el campeonato por equipos en el CIGT en una temporada con Hammer AMR. Bobby Stone Jr. tiene el rasgo ""Niño de papá"": no puedes despedirlo y su moral impacta directamente en la moral del presidente. El jugador no puede cambiar de equipo.","Vença o Campeonato de Equipes 2017 do CIGT em uma temporada com a Hammer AMR. Bobby Stone Jr. tem o traço ""filhinho de papai"": ele não pode ser demitido e seu moral impacta diretamente o moral do presidente. O jogador não pode mudar de equipe.","Win het 2017 IGTC Teams' Championship in één seizoen als Hammer AMR. Bobby Stone Jr. heeft de eigenschap ‘Papa's lieveling’: hij kan niet worden ontslagen en zijn moreel heeft een directe invloed op het moreel van de voorzitter. De speler kan niet van team wisselen.","Nyerd meg a 2017. évi NTAB Csapatbajnokságot egy idényben a Hammer AMR-ral. Bobby Stone Jr. bír az ‘Apuci kisfia’ jellemvonással: nem rúghatod ki, morálja pedig közvetlen hatással van az elnökére. A játékos nem válthat csapatot. ","Wygraj mistrzostwa drużynowe MMGT 2017 jako Hammer AMR. Bobby Stone junior ma cechę „ukochane dziecko”: nie można go zwolnić, a jego morale ma wpływ na morale prezesa. Gracz nie może zmienić zespołu.","Одержите победу в Чемпионате команд МЧГТ 2017 за один сезон в составе команды Hammer AMR. Бобби Стоун мл. имеет особенность ""Папенькин сынок"", это означает, что его нельзя уволить, а его боевой дух напрямую влияет на боевой дух председателя. Игрок не может менять команду."
"Challenges","ChallengePack","","HUDText","Fighting for Fifth","PSG_10012178","","","","","","","Tente d'obtenir la 5e position","Lotta per il quinto posto","Kampf um Platz 5","Luchando por ser quintos","Lutando pela quinta posição","Vechten om de vijfde plaats","Harc az ötödik helyért","Walka o piąte miejsce","Борьба за пятое место"
"Challenges","ChallengePack","","HUDText","It’s the last race of the WMC. Chapman can secure the driver’s championship without even getting on the podium. However, after a crash-heavy and rain soaked first lap, the plan must evolve. Olivera is closing fast and her position will directly impact where Chapman needs to place. Can he overcome the odds?","PSG_10012179","","","","","","It’s the last race of the WMC. Chapman can secure the driver’s championship without even getting on the podium. However, after a crash-heavy and rain soaked first lap, the plan must evolve. Can your deft management skills ensure that Chapman hits his target and wins the championship?","C'est la dernière course du CMSA. Chapman peut sécuriser le championnat des pilotes sans même avoir à monter sur le podium. Cependant, les premiers tours semés de collisions et arrosés par la pluie donnent au scénario une tournure inattendue, et exigent une réaction. Olivera se rapproche à toute vitesse, et sa position influencera directement la place que Chapman doit atteindre. Peut-il surmonter tous les obstacles ?","È l'ultima gara del CMA. Chapman può assicurarsi il Campionato piloti senza nemmeno salire sul podio. Tuttavia, dopo un primo giro pieno di incidenti e sotto la pioggia battente, serve un cambio di programma. Olivera si avvicina rapidamente e dalla sua posizione dipenderà quella che serve a Chapman. Avrà successo nonostante le grandi difficoltà?","Es ist das letzte Rennen der WMC. Chapman kann sich den Meistertitel holen, ohne es aufs Siegertreppchen zu schaffen. Doch nach mehreren Unfällen und heftigem Regen in der ersten Runde muss umgeplant werden. Olivera holt schnell auf und Chapmans angestrebte Position wird unter anderem davon abhängen, welche Position sie ergattert. Kann er sich durchsetzen?","Es la última carrera del CMA. Chapman puede conseguir el campeonato de pilotos sin subir al podio. Sin embargo, la tremenda lluvia que está cayendo ha provocado multitud de accidentes en la primera vuelta y hay que cambiar de plan. Olivera se está acercando y su posición impactará directamente sobre la posición que necesita Chapman. ¿Podrá superar los obstáculos?","É a última corrida do CMA. Chapman pode garantir o campeonato de pilotos sem sequer subir ao pódio. Contudo, após uma primeira volta cheia de acidentes e com muita chuva, o plano precisa ser mudado. Olivera está se aproximando rapidamente e sua posição vai impactar diretamente na colocação de Chapman. Será que ele vai conseguir?","Het is de laatste race van het WMC. Chapman kan het driver's championship veiligstellen zonder het podium ook maar te betreden. Maar na een drijfnatte eerste ronde met veel crashes moet er een plan komen. Kan jij er als kundige manager voor zorgen dat Chapman zijn doel haalt en het kampioenschap wint?","Az MV utolsó versenye. Chapman bebiztosíthatja egyéni bajnokságát, és ehhez még a dobogóra sem kell állnia. Azonban egy karambolokkal teli és esőáztatta első kör után új tervet kell kidolgozni. Olivera gyorsan közelít, és a helyezése közvetlen hatással lesz arra, hogy hol kell végeznie Chapmannek. Képes lesz leküzdeni a nehézségeket?","To ostatni wyścig w ŚMSM. Chapman może zapewnić sobie tytuł mistrza kierowców bez wchodzenia na podium. Jednakże po pierwszym okrążeniu w deszczu i z mnóstwem kraks trzeba dopracować plan. Olivera szybko się do niego zbliża. Jej pozycja zadecyduje o tym, które miejsce musi zdobyć Chapman. Czy poradzi on sobie z tym wyzwaniem?","Это последняя гонка ЧМА. Чапман может обеспечить победу в чемпионате пилотов даже не поднимаясь на подиум. Тем не менее, после большого количества аварий, случившихся из-за мокрого покрытия трассы, во время прохождения первого круга, необходимо доработать план гонки. Оливера быстро приближается, а от ее позиции непосредственно зависит место, которое Чапман должен занять. Сможет ли он выйти из положения?"
"Challenges","ChallengePack","","HUDText","Have Harry Chapman finish 5th or above on the final race of the season. The challenge starts on lap two, just as the safety car has been called. There will be heavy rain and prime crash conditions throughout the race.","PSG_10012180","","","","","","","Assurez-vous qu'Harry Chapman termine au moins à la 5e place lors de la course finale de la saison. Le défi commence au deuxième tour, dès que la voiture de sécurité aura quitté la piste. Un déluge de pluie et des conditions propices aux accidents pendant toute la durée de la course.","Fai in modo che Harry Chapman finisca almeno al quinto posto nell'ultima gara della stagione. La sfida comincia al secondo giro, appena viene chiamata la safety car. Pioggia battente e condizioni che favoriscono incidenti durante tutta la gara.","Sorgen Sie dafür, dass Harry Chapman im letzten Rennen der Saison mindestens den 5. Platz erreicht. Die Herausforderung startet in der 2. Runde, direkt nach dem Einsatz des Safety Cars. Während des gesamten Rennens drohen starker Regen und hohe Unfallgefahr.","Haz que Harry Chapman acabe en quinta posición como mínimo en la última carrera de la temporada. El desafío comienza en la segunda vuelta, cuando sale el coche de seguridad. La lluvia hace que se corra el riesgo de accidentes durante toda la carrera.","Faça Harry Chapman terminar em 5º lugar ou superior na corrida final da temporada. O desafio começa na segunda volta, assim que o safety car for chamado. Haverá chuva pesada e condições perfeitas para acidentes ao longo de toda a corrida.","Laat Harry Chapman op de 5e plaats of hoger eindigen in de laatste race van het seizoen. De uitdaging begint in ronde twee, net als de safety car is opgeroepen. Tijdens de race krijg je te maken met zware regen en ideale omstandigheden om te crashen.","Harry Chapmannek legalább az ötödik helyen kell végeznie az idény utolsó versenyén. A kihívás a második körben indul, miután behívták a biztonsági autót. Heves eső és karambolokhoz kiváló állapotok lesznek az egész versenyen. ","Niech Harry Chapman skończy ostatni wyścig w tym sezonie przynajmniej na 5. miejscu. Wyzwanie zaczyna się na drugim okrążeniu po wezwaniu samochodu bezpieczeństwa. W czasie wyścigu mocno pada. To niebezpieczne warunki.","Гарри Чапман должен занять хотя бы 5 место в последней гонке сезона. Испытание начнется на втором круге, как только будет вызвана машина безопасности. Из-за сильного ливня на всей протяженности трассы будут сохраняться аварийные условия."
"Challenges","ChallengePack","","HUDText","Up in Flames","PSG_10012181","","","","","","","En fumée","In fiamme","Heiße Angelegenheit","Fuego en la pista","Em chamas","In vlammen op","Lángok között","W płomieniach","В огне"
"Challenges","ChallengePack","","HUDText","The 2016 season has taken a horrific turn for Scuderia Rossini. During the tenth race, their star driver Wexler was involved in a severe crash and sustained severe, life-threatening burns! He's in the infirmary for the next few races: can Rossini get everything ready for his triumphant return?","PSG_10012182","","","","","","","La saison 2016 a pris un tournant dramatique pour Scuderia Rossini. Lors de la 10e course, leur pilote vedette, Wexler, a été impliqué dans un accident grave et en est ressorti avec des brûlures sévères engageant son pronostic vital ! Il ne bougera pas de l'infirmerie pendant les prochaines courses : Est-ce que l'écurie parviendra à tout préparer pour son retour triomphal ?","La stagione 2016 ha preso una brutta piega per la Scuderia Rossini. Durante la decima gara, il pilota numero 1 Wexler è stato vittima di un grave incidente e ha riportato ustioni che mettono la sua vita in pericolo! Starà in infermeria per le prossime gare: la Rossini saprà preparare tutto in tempo per il suo trionfante rientro?","Für Scuderia Rossini hat die Saison 2016 eine erschreckende Wendung erfahren: Während des 10. Rennens geriet Spitzenfahrer Wexler in einen Unfall und erlitt schwere, lebensbedrohliche Verbrennungen! Er wird die nächsten paar Rennen im Krankenhaus aussitzen. Wird Rossini für seine glorreiche Rückkehr bereit sein?","Scuderia Rossini ha sufrido un duro revés en la temporada 2016: durante la décima carrera, su piloto estrella, Wexler, ha sufrido un grave accidente que lo ha dejado con graves quemaduras y luchando por su vida. Estará en el hospital durante las próximas carreras. ¿Estará preparada la escudería para su triunfante regreso a las pistas?","A temporada 2016 teve uma virada terrível para a Scuderia Rossini. Durante a décima corrida, Wexler, seu principal piloto, envolveu-se em um acidente sério e sofreu queimaduras graves, que colocaram sua vida em risco! Ele estará na enfermaria pelas próximas corridas: será que a Rossini conseguirá aprontar tudo para seu retorno triunfal?","Het seizoen van 2016 heeft een dramatische wending genomen voor Scuderia Rossini. Tijdens de tiende race is stercoureur Wexler betrokken geraakt bij een zware botsing, waarbij hij ernstige, levensbedreigende brandwonden heeft opgelopen! Hij ligt de komende paar races in de ziekenboeg: krijgt Rossini alles klaar voor zijn triomfantelijke terugkeer?","A 2016. év borzalmas fordulatot tartogatott a Scuderia Rossininek. A tizedik versenyen sztárpilótájuk, Wexler, szörnyű balesetet szenvedett, és súlyos, életveszélyes égési sérüléseket szerzett! A következő pár versenyt a kórházban töltötte: képes vajon a Rossini mindent előkészíteni diadalmas visszatérésére? ","Sytuacja Scuderia Rossini w sezonie 2016 nagle bardzo się pogorszyła. Podczas dziesiątego wyścigu Wexler, gwiazda zespołu, brał udział w wypadku i doznał poważnych, zagrażających życiu oparzeń! Następnych kilka wyścigów spędzi w ambulatorium. Czy Rossini zdoła wszystko przygotować na jego powrót?","Сезон 2016 обернулся кошмаром для команды Scuderia Rossini. Во время десятой гонки, их звездный пилот, Векслер, попал в серьезную аварию и получил тяжелые, опасные для жизни ожоги! Несколько следующих гонок он будет вынужден пропустить. Сможет ли команда подготовиться к его триумфальному возвращению?"
