Month,Cool - Min,Cool - Max,Cool - Clear,Cool - Cloudy,Cool - Overcast,Cool - Stormy,Moderate - Min,Moderate - Max,Moderate - Clear,Moderate - Cloudy,Moderate - Overcast,Moderate - Stormy,Warm - Min,Warm - Max,Warm - Clear,Warm - Cloudy,Warm - Overcast,Warm - Stormy,Tropical - Min,Tropical - Max,Tropical - Clear,Tropical - Cloudy,Tropical - Overcast,Tropical - Stormy,Dry - Min,Dry - Max,Dry - Clear,Dry - Cloudy,Dry - Overcast,Dry - Stormy,Dry - Rainfall
January,-2,8,0.2,0.3,0.4,0.1,2,6,0.25,0.3,0.4,0.05,11,18,0.5,0.3,0.15,0.05,23,30,0.5,0.35,0.1,0.05,12,23,0.98,0.02,0,0,23
February,0,10,0.3,0.3,0.3,0.1,6,11,0.43,0.4,0.15,0.02,12,19,0.5,0.3,0.15,0.05,23,31,0.5,0.35,0.1,0.05,14,24,0.99,0.01,0,0,23
March,4,14,0.3,0.3,0.3,0.1,11,20,0.43,0.4,0.15,0.02,13,22,0.85,0.1,0.03,0.02,24,31,0.5,0.35,0.1,0.05,20,27,0.99,0.01,0,0,10
April,8,19,0.4,0.3,0.25,0.05,12,21,0.43,0.4,0.15,0.02,14,26,0.85,0.1,0.03,0.02,24,31,0.5,0.35,0.1,0.05,21,30,0.99,0.01,0,0,5
May,10,20,0.5,0.3,0.15,0.05,13,24,0.43,0.4,0.15,0.02,15,27,0.85,0.1,0.03,0.02,24,32,0.5,0.35,0.1,0.05,22,34,1,0,0,0,0
June,12,24,0.6,0.2,0.15,0.05,16,27,0.43,0.4,0.15,0.02,18,29,0.85,0.1,0.03,0.02,24,31,0.5,0.35,0.1,0.05,25,35,1,0,0,0,0
July,15,26,0.6,0.3,0.05,0.05,15,28,0.43,0.4,0.15,0.02,21,32,0.85,0.1,0.03,0.02,24,31,0.5,0.35,0.1,0.05,26,36,1,0,0,0,0
August,12,20,0.6,0.3,0.05,0.05,14,21,0.43,0.4,0.15,0.02,21,32,0.85,0.1,0.03,0.02,24,31,0.5,0.35,0.1,0.05,26,36,1,0,0,0,0
September,9,18,0.4,0.3,0.2,0.1,13,20,0.43,0.4,0.15,0.02,19,29,0.85,0.1,0.03,0.02,24,31,0.5,0.35,0.1,0.05,25,36,1,0,0,0,0
October,7,17,0.3,0.3,0.3,0.1,12,19,0.43,0.4,0.15,0.02,15,23,0.85,0.1,0.03,0.02,23,31,0.5,0.35,0.1,0.05,22,33,1,0,0,0,0
November,2,11,0.3,0.3,0.3,0.1,11,18,0.43,0.4,0.15,0.02,13,20,0.5,0.3,0.15,0.05,23,31,0.5,0.35,0.1,0.05,20,31,0.99,0.01,0,0,10
December,0,9,0.2,0.3,0.4,0.1,6,8,0.25,0.3,0.4,0.05,12,19,0.5,0.3,0.15,0.05,23,31,0.5,0.35,0.1,0.05,14,26,0.98,0.02,0,0,36
