Type,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus
Age,15,15,15,15,15,15,15,15,15
/3 Simulator,0,0,0,0,15;30;50,15;30;50,0,0,0
/3 Test Track,0,15;30;50,0,15;30;50,0,0,0,0,0
/3 Telemetry Centre,0,0,15;30;50,0,15;30;50,0,0,0,0
/3 Brakes Research Facility,15;30;50,0,0,0,0,0,0,0,0
/3 Ride Handling Development,0,15;30;50,15;30;50,0,0,0,0,0,0
/3 Wind Tunnel,0,0,0,0,0,0,0,15;30;50,0
/3 Staff Housing,0,0,0,0,0,0,15;30;50,0,15;30;50
Practice,10,10,15,5,5,5,5,25,5
Qualifying,20,20,5,5,5,10,10,10,10
Race,15,15,15,20,15,15,10,15,10
Ardennes,10,134,136,60,45,8,20,12,83
Beijing,145,19,36,140,55,18,90,22,73
Vancouver,17,141,143,67,97,15,42,19,30
Guildford,40,64,136,80,140,8,20,12,8
Madrid,34,143,20,44,99,17,139,21,72
Milan,142,16,73,137,97,15,12,19,45
Cape Town,75,144,51,15,150,18,30,22,93
Munich,137,136,43,7,17,10,82,14,25
Phoenix,45,69,16,135,95,13,10,17,28
Qatar,65,134,11,20,90,8,5,12,38
Rio de Janeiro,13,67,14,63,143,11,8,15,11
Sochi,41,65,87,131,31,9,6,13,9
Singapore,92,141,33,12,77,15,12,19,45
Sydney,42,81,138,7,17,10,62,14,25
Yokohama,68,137,84,33,28,11,8,15,11
Dubai,143,72,54,138,23,16,23,20,71
Wet Session,0,0,5,0,5,70,5,5,15
Per Overtake,0,0,0,15,0,0,0,0,0
Max Per Day,150,150,150,150,150,150,150,150,150
