"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Navigation","Bottom Bar","","HUDText","Home","PSG_10000001","","","","","","","Accueil","Home","Startbildschirm","Inicio","Principal","Home","Otthon","Baza","Главная страница"
"Navigation","Bottom Bar","","HUDText","Drivers","PSG_10000002","","","","","","","Pilotes","Piloti","Fahrer","Pilotos","Pilotos","Coureurs","Versenyzők","Kierowcy","Пилоты"
"Navigation","Bottom Bar","","HUDText","HQ","PSG_10000004","","","","","","","Siège","QG","HQ","Sede","Sede","HQ","Központ","Centrala","Штаб"
"Navigation","Bottom Bar","","HUDText","Team","PSG_10000005","","","","","","","Écurie","Squadra","Team","Equipo","Equipe","Team","Csapat","Zespół","Команда"
"Navigation","Bottom Bar","","HUDText","Finance","PSG_10000006","","","","","","","Finances","Finanze","Finanzen","Finanzas","Finanças","Financiën","Pénzügyek","Finanse","Финансы"
"Navigation","Bottom Bar","","HUDText","Scouting","PSG_10000007","","","","","","","Recrutement","Ricerca talenti","Scouting","Ojeadores","Talentos","Scouting","Megfigyelés","Skauting","Поиск талантов"
"Navigation","Bottom Bar","","HUDText","Design Facility","PSG_10003780","","","","","","","Atelier de conception","Struttura di progettazione","Entwicklungseinrichtung","Instalación de diseño","Centro de design","Ontwerpfaciliteit","Tervezőlétesítmény","Ośrodek projektowy","Отдел проектировки"
"Navigation","Bottom Bar","","HUDText","Car Design","PSG_10001275","","","","","","","Conception automobile","Progettazione auto","Fahrzeugdesign","Diseño del coche","Design do carro","Wagenontwerp","Autótervezés","Projektowanie samochodów","Дизайн болидов"
"Navigation","Bottom Bar","","HUDText","Car Development","PSG_10001276","","","","","","","Développement automobile","Sviluppo auto","Fahrzeugentwicklung","Desarrollo del coche","Desenvolvimento do carro","Wagenontwikkeling","Autófejlesztés","Produkcja samochodów","Разработка болидов"
"Navigation","Bottom Bar","","HUDText","Factory","PSG_10002576","","","","","","","Usine","Stabilimento","Fabrik","Fábrica","Fábrica","Fabriek","Üzem","Fabryka","Завод"
"Navigation","Bottom Bar","","HUDText","Manager Profile","PSG_10001277","","","","","","","Profil manager","Profilo manager","Managerprofil","Perfil de entrenador","Perfil do administrador","Managerprofiel","Menedzserprofil","Profil menadżera","Профиль менеджера"
"Navigation","Bottom Bar","","HUDText","Travel","PSG_10001278","","","","","","","Voyage","Viaggia","Reisen","Viajar","Turismo","Reizen","Utazás","Podróż","Перейти"
"Navigation","Bottom Bar","","HUDText","Staff","PSG_10003781","","","","","","","Personnel","Staff","Mitarbeiter","Personal","Funcionários","Personeel","Stáb","Personel","Персонал"
"Navigation","Bottom Bar","","HUDText","Sponsors","PSG_10003782","","","","","","","Sponsors","Sponsor","Sponsoren","Patrocinadores","Patrocinadores","Sponsors","Szponzorok","Sponsorzy","Спонсоры"
"Navigation","Bottom Bar","","HUDText","Politics","PSG_10003783","","","","","","","Vote","Politica","Politisches","Votación","Política","Politiek","Politika","Polityka","Политики"
"Navigation","Bottom Bar","","HUDText","Standings","PSG_10003784","","","","","","","Classements","Classifiche","Platzierung","Clasificaciones","Classificação","Klassement","Állás","Rankingi","Турнирная таблица"
"Navigation","Top Bar","","HUDText","Forward","PSG_10001279","","","","","","","Suivant","Avanti","Vor","Adelante","Avançar","Vooruit","Előre","Dalej","Вперед"
"Navigation","Top Bar","","HUDText","Back","PSG_10001281","","","","","","","Retour","Indietro","Zurück","Atrás","Voltar","Terug","Vissza","Wstecz","Назад"
"Navigation","Top Bar","","HUDText","Skip to Race","PSG_10001280","","","","","","","Passer directement à la course","Passa alla gara","Direkt zum Rennen","Ir a la carrera","Pular para a corrida","Naar race","Ugrás a versenyre","Przejdź do wyścigu","Перейти к гонке"
"Navigation","Top Bar","","HUDText","Fast Forward","PSG_10001283","","","","","","","Avance rapide","Avanti veloce","Schnellvorlauf","Acelerar","Avançar rapidamente","Snel vooruit","Gyors előretekerés","Przewiń","Перемотка вперед"
"Navigation","Top Bar","","HUDText","Pause","PSG_10001284","","","","","","","Pause","Pausa","Pause","Pausa","Pausa","Pauze","Szünet","Pauza","Пауза"
"Home","Title","","HUDText","Home Screen","PSG_10001285","","","","","","","Écran d'accueil","Schermata Home","Startbildschirm","Pantalla de inicio","Tela principal","Home-scherm","Otthon képernyő","Ekran główny","Главное меню"
