Location,Circuit ID,Location ID,Country,Country ID,Sprite Name,Scene,Track Layout,Track Length,Travel Cost,Hemisphere,Type,Latitude,Longitude,Climate,2015 Winner,2014 Winner,2013 Winner,Lap Record,Lap Record By,TS,ACC,DEC,LSC,MSC,HSC,First Tyre Option,Second Tyre Option,Third Tyre Option,Tyre Wear Rate,Fuel Burn Rate,Minimap Rotation,Minimap Axis,Safety Car Flag Chance,Virtual Safety Car Chance,Fastest Lap Time (Minutes),Track Rubber Modifier,Fastest Lap Driver ID
Ardennes,0,PSG_10003764,Belgium,PSG_10000899,Ardennes,Ardennes,A,3.61,0.05,North,Race Event,25,51,Moderate,"D Sharp
Iris Racing","L Holtz
Steinmann Motorsport","H Chapman
Steinmann Motorsport",01:34.1,"L Holtz
Steinmann Motorsport
2014",3,1,1,3,1,2,SuperSoft,Soft,Medium,Low,High,0,x,0.3,0.5,1.883478261,1,1
Beijing,1,PSG_10003765,China,PSG_10000920,Beijing,Beijing,A,2.73,0.12,North,Race Event,40,116,Moderate,"H Chapman
Steinmann Motorsport","A Lipponen
Mansion","J Vasquez
Scuderia Leone",01:34.2,"D Sharp
Iris Racing
2013",3,2,3,3,1,1,SuperSoft,Soft,Medium,Medium,Low,0,x,0.25,0.35,1.424347826,1,2
Beijing,2,PSG_10003765,China,PSG_10000920,Beijing,Beijing,B,2.33,0.12,North,Race Event,-34,18,Moderate,"H Chapman
Steinmann Motorsport","A Lipponen
Mansion","J Vasquez
Scuderia Leone",01:34.2,"H Chapman
Steinmann Motorsport
2014",3,3,3,2,1,1,Soft,Medium,Hard,Medium,Low,0,x,0.25,0.35,1.215652174,1,3
Beijing,3,PSG_10003765,China,PSG_10000920,Beijing,Beijing,C,2.73,0.12,North,Race Event,19,72,Moderate,"Y Churchill
Iris Racing","L Holtz
Steinmann Motorsport","H Chapman
Steinmann Motorsport",01:34.2,"D Sharp
Iris Racing
2013",3,2,1,3,1,1,SuperSoft,Soft,Medium,Medium,Low,0,x,0.25,0.35,1.424347826,1,4
Beijing,4,PSG_10003765,China,PSG_10000920,Beijing,Beijing,D,2.53,0.12,North,Race Event,41,28,Moderate,"J Vasquez
Scuderia Leone","H Chapman
Steinmann Motorsport","L Holtz
Steinmann Motorsport",01:34.2,"A Lipponen
Mansion
2013",3,3,2,3,1,1,SuperSoft,Soft,Medium,Medium,Low,0,x,0.25,0.35,1.32,1,5
Beijing,5,PSG_10003765,China,PSG_10000920,Beijing,Beijing,E,2.06,0.12,North,Race Event,41,28,Moderate,"J Vasquez
Scuderia Leone","H Chapman
Steinmann Motorsport","L Holtz
Steinmann Motorsport",01:34.2,"A Lipponen
Mansion
2013",3,3,1,2,1,3,Soft,Medium,Hard,Medium,Low,0,x,0.25,0.35,1.074782609,1,6
Vancouver,6,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,A,3.39,0.075,North,Race Event,50,-123,Moderate,"A Lipponen
Mansion","J Vasquez
Scuderia Leone","H Chapman
Steinmann Motorsport",01:34.1,"Y Churchill
Iris Racing
2013",2,1,1,1,3,3,UltraSoft,SuperSoft,Soft,High,High,0,x,0.35,0.25,1.768695652,1,7
Vancouver,7,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,B,2.75,0.075,North,Race Event,24,54,Moderate,"H Chapman
Steinmann Motorsport","A Lipponen
Mansion","D Sharp
Iris Racing",01:34.1,"L Holtz
Steinmann Motorsport
2014",2,2,1,1,3,3,UltraSoft,SuperSoft,Soft,High,Medium,0,x,0.35,0.25,1.434782609,1,8
Vancouver,8,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,C,2.75,0.075,North,Race Event,30,-98,Moderate,"D Sharp
Iris Racing","L Holtz
Steinmann Motorsport","H Chapman
Steinmann Motorsport",01:34.2,"H Chapman
Steinmann Motorsport
2014",2,3,1,3,3,2,UltraSoft,SuperSoft,Soft,High,Medium,0,x,0.35,0.25,1.434782609,1,9
Vancouver,47,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,D,2.75,0.075,North,Race Event,30,-98,Moderate,"D Sharp
Iris Racing","L Holtz
Steinmann Motorsport","H Chapman
Steinmann Motorsport",01:34.2,"H Chapman
Steinmann Motorsport
2014",2,3,1,3,3,2,UltraSoft,SuperSoft,Soft,High,Medium,0,x,0.35,0.25,1.434782609,1,10
Guildford,9,PSG_10003767,UK,PSG_10001069,Guildford,Guildford,A,3.47,0.05,North,Race Event,41,2,Cool,"J Vasquez
Scuderia Leone","L Holtz
Steinmann Motorsport","N Surikov
Iris Racing",01:34.1,"D Sharp
Iris Racing
2013",3,1,1,1,3,3,SuperSoft,Soft,Medium,VeryHigh,Low,0,x,0.25,0.4,1.810434783,1,11
Guildford,10,PSG_10003767,UK,PSG_10001069,Guildford,Guildford,B,3.33,0.05,North,Race Event,41,2,Cool,"J Vasquez
Scuderia Leone","L Holtz
Steinmann Motorsport","N Surikov
Iris Racing",01:34.1,"D Sharp
Iris Racing
2013",3,1,1,1,2,3,Soft,Medium,Hard,VeryHigh,VeryLow,0,x,0.25,0.4,1.737391304,1,12
Tondela,11,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,A,3.08,0.05,North,Race Event,-34,18,Warm,"J Vasquez
Scuderia Leone","H Chapman
Steinmann Motorsport","L Holtz
Steinmann Motorsport",01:34.2,"L Holtz
Steinmann Motorsport
2014",1,3,1,3,2,1,Soft,Medium,Hard,High,Medium,0,x,0.3,0.2,1.606956522,1,13
Tondela,12,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,B,2.4,0.05,North,Race Event,19,72,Warm,"N Surikov
Iris Racing","H Chapman
Steinmann Motorsport","A Lipponen
Mansion",01:34.1,"N Surikov
Iris Racing
2014",1,3,1,3,2,1,SuperSoft,Soft,Medium,High,Medium,0,x,0.3,0.2,1.252173913,1,14
Tondela,13,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,C,3.08,0.05,North,Race Event,41,28,Warm,"D Sharp
Iris Racing","H Chapman
Steinmann Motorsport","J Vasquez
Scuderia Leone",01:34.2,"Y Churchill
Iris Racing
2013",1,3,1,3,2,1,Soft,Medium,Hard,High,Medium,0,x,0.3,0.2,1.606956522,1,15
Tondela,14,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,D,3.09,0.05,North,Race Event,41,28,Warm,"D Sharp
Iris Racing","H Chapman
Steinmann Motorsport","J Vasquez
Scuderia Leone",01:34.2,"Y Churchill
Iris Racing
2013",1,3,1,3,2,1,Soft,Medium,Hard,High,High,0,x,0.3,0.2,1.612173913,1,16
Milan,15,PSG_10003769,Italy,PSG_10000966,Milan,Milan,A,3.72,0.05,North,Race Event,3,101,Moderate,"H Chapman
Steinmann Motorsport","A Lipponen
Mansion","L Holtz
Steinmann Motorsport",01:34.1,"L Holtz
Steinmann Motorsport
2014",3,1,3,1,1,3,Soft,Medium,Hard,Low,Medium,0,x,0.15,0.35,1.940869565,1,17
Milan,16,PSG_10003769,Italy,PSG_10000966,Milan,Milan,B,3.73,0.05,North,Race Event,35,135,Moderate,"L Holtz
Steinmann Motorsport","J Vasquez
Scuderia Leone","J Vasquez
Scuderia Leone",01:34.1,"A Lipponen
Mansion
2013",3,1,3,2,1,3,Soft,Medium,Hard,Low,VeryLow,0,x,0.15,0.35,1.946086957,1,18
Milan,17,PSG_10003769,Italy,PSG_10000966,Milan,Milan,C,2.4,0.05,North,Race Event,-38,144,Moderate,"H Chapman
Steinmann Motorsport","N Surikov
Iris Racing","J Vasquez
Scuderia Leone",01:34.1,"A Lipponen
Mansion
2013",3,1,3,3,1,2,Soft,Medium,Hard,Low,VeryHigh,0,x,0.15,0.35,1.252173913,1,19
Cape Town,18,PSG_10003770,SouthAfrica,PSG_10001045,Cape Town,Cape Town,A,2.3,0.065,South,Race Event,19,-99,Warm,"A Lipponen
Mansion","L Holtz
Steinmann Motorsport","Y Churchill
Iris Racing",01:34.2,"L Holtz
Steinmann Motorsport
2014",1,3,3,3,1,1,UltraSoft,SuperSoft,Soft,Medium,Low,0,x,0.4,0.15,1.2,0.6,20
