"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Tutorial","Tutorial","Type = Header;","MediaPerson","{#1Place:Name} wins in {Location} after freak rainstorm","PSG_10007346","Type = Body0","MailGroup = Media","","","","{#1Place:Name} remporte {Location} après un déluge phénoménal.","{Location}: {#1Place:Name} vince dopo un inatteso temporale","{#1Place:Name} siegt in {Location} nach unerwartetem Regenguss","{#1Place:Name} vence en {Location} tras una tormenta aterradora","{Location}: {#1Place:Name} vence após uma tempestade insana","<gender^Location=M>
{#1Place:Name} wint in {Location} na hevige regenbuien
</gender>
<gender^Location=MP>
{#1Place:Name} wint in de {Location} na hevige regenbuien
</gender>
<gender^Location=F>
{#1Place:Name} wint aan de {Location} na hevige regenbuien
</gender>","{Location}: {#1Place:Name} győz a rémes felhőszakadás után","{Location} – {#1Place:Name} wygrywa po niespodziewanej burzy.","{#1Place:Name} после страшного ливня побеждает в гонке: {Location}"
"Tutorial","Tutorial","Type = Body0","MediaPerson","A sudden torrential downpour couldn't stop {#1Place:Team}'s {#1Place:LastName} from recording the first victory of the season here in {Location}.","PSG_10007347","Type = Body1","AddLineBreaks = 2;","","","","{Location} : Une soudaine pluie torrentielle n'a pas empêché {#1Place:LastName} de chez {#1Place:Team} d'enregistrer la première victoire de la saison ici .","{Location}: un improvviso e torrenziale diluvio non è riuscito a impedire la prima vittoria della stagione per {#1Place:LastName}, della {#1Place:Team}.","Der plötzliche heftige Regen konnte {#1Place:LastName} von {#1Place:Team} nicht davon abhalten, den ersten Sieg der Saison hier in {Location} einzufahren.","La inesperada tormenta que ha caído sobre {Location} no ha supuesto ningún impedimento para que {#1Place:LastName}, de {#1Place:Team}, se haga con la primera victoria de la temporada.","{Location}: um temporal repentino não foi capaz de impedir {#1Place:LastName}, da {#1Place:Team}, de conquistar a primeira vitória da temporada aqui.","<gender^Location=M>
Plotselinge stortregens konden niet voorkomen dat  {#1Place:LastName} van {#1Place:Team} de eerste overwinning van het seizoen hier in {Location} opeiste.
</gender>
<gender^Location=MP>
Plotselinge stortregens konden niet voorkomen dat  {#1Place:LastName} van {#1Place:Team} de eerste overwinning van het seizoen hier in de {Location} opeiste.
</gender>
<gender^Location=F>
Plotselinge stortregens konden niet voorkomen dat  {#1Place:LastName} van {#1Place:Team} de eerste overwinning van het seizoen hier aan de {Location} opeiste.
</gender>","{Location}: a hirtelen jött felhőszakadás sem tudta meggátolni, hogy a(z) {#1Place:Team} versenyzője, {#1Place:LastName} ne gyűjtse be az idény első győzelmét. ","{#1Place:LastName} z zespołu {#1Place:Team} przezwycięża okropną ulewę i zdobywa pierwsze zwycięstwo w sezonie.","Внезапный ливень не смог помешать пилоту команды {#1Place:Team} {#1Place:LastName} одержать первую победу сезона на трассе {Location}."
"Tutorial","Tutorial","Type = Body1","MediaPerson","In second place were {#2Place:Name}, driving for {#2Place:Team} and {#3Place:Team}'s {#3Place:Name}.","PSG_10007348","Type = Body2","AddLineBreaks = 2;","","","","En seconde place se trouvait {#2Place:Name} de chez {#2Place:Team} et {#3Place:Name} de chez {#3Place:Team}.","Al secondo posto {#2Place:Name} della {#2Place:Team}, e {#3Place:Name} della {#3Place:Team}.","Aufs Treppchen folgten {#2Place:Name} von {#2Place:Team} und {#3Place:Name} von {#3Place:Team}.","En segundo lugar ha terminado {#2Place:Name}, de {#2Place:Team}. La tercera posición ha sido para {#3Place:Name}, de {#3Place:Team}.","O segundo lugar ficou com {#2Place:Name}, pilotando pela {#2Place:Team}, e em terceiro veio {#3Place:Name}, da {#3Place:Team}.","Op de tweede plaats eindigden {#2Place:Name}, die rijdt voor {#2Place:Team}, en {#3Place:Name} van {#3Place:Team}.","Második lett {#2Place:Name}, a(z) {#2Place:Team} színeiben, és {#3Place:Name} a(z) {#3Place:Team} képviseletében. ","Na kolejnych dwóch miejscach znajdują się: {#2Place:Name} z zespołu {#2Place:Team} i {#3Place:Name} ({#3Place:Team}).","Пилот {#2Place:Name} команды {#2Place:Team} занимает второе место, а пилот команды {#3Place:Team} {#3Place:Name} - третье."
"Tutorial","Tutorial","Type = Body2","MediaPerson","This race also marked the pitwall debut of {PlayerTeam:Name}'s new manager, {Player:Name}.","PSG_10007349","","","","","","Cette course a aussi marqué le début dans les stands de {Player:Name}, nouvellement à la tête de {PlayerTeam:Name}.","Questa gara ha visto anche il debutto al muretto di {Player:Name}, da poco manager della {PlayerTeam:Name}.","<gender^Player=F>
Dieses Rennen sah außerdem das Boxenmauer-Debüt der neuen Chefin von {PlayerTeam:Name}, {Player:Name}.
</gender>
<gender^Player=M>
Dieses Rennen sah außerdem das Boxenmauer-Debüt des neuen Chefs von {PlayerTeam:Name}, {Player:Name}.
</gender>
","<gender^Player=F>
La carrera también supuso el debut en el muro de {PlayerTeam:Name} de su nueva directora de equipo {Player:Name}.
</gender>
<gender^Player=M>
La carrera también supuso el debut en el muro de {PlayerTeam:Name} de su nuevo director de equipo {Player:Name}.
</gender>","<gender^Player=F>
Essa corrida também marcou a estreia da nova administradora da {PlayerTeam:Name} no pit wall, {Player:Name}.
</gender>
<gender^Player=M>
Essa corrida também marcou a estreia do novo administrador da {PlayerTeam:Name} no pit wall, {Player:Name}.
</gender>
","Deze race was tevens het pitwall-debuut van {Player:Name}, de nieuwe manager van {PlayerTeam:Name}.","Ezen a versenyen debütált a pitwallnál a(z) {PlayerTeam:Name} új menedzsere, {Player:Name} is.","{Player:Name} z zespołu {PlayerTeam:Name} ma swój debiut menadżerski za sobą.","В этой гонке также дебютировал новый менеджер команды {PlayerTeam:Name} {Player:Name}."
"End of Season","BothChampionshipClose","Type = Header;","MediaPerson","Both Championships Going Down To The Wire","PSG_10000617","Type = Body0","MailGroup = Media","","","","Compétition serrée pour les deux championnats","ENTRAMBI I CAMPIONATI SI DECIDONO ALL'ULTIMO","Beide Meisterschaften spannend bis zum Schluss","LOS DOS CAMPEONATOS SIGUEN EN EL ALAMBRE","Os dois campeonatos estão quase no fim","Beide kampioenschappen op het laatste moment beslist","MINDKÉT BAJNOKSÁG A LEGVÉGÉN TART","OBA MISTRZOSTWA NA FINISZU","СУДЬБА ОБОИХ КУБКОВ РЕШАЕТСЯ В ПОСЛЕДНИЙ МОМЕНТ"
"End of Season","BothChampionshipClose","Type = Body0","MediaPerson","With 2 races to go, the {CurrentYear} season is perfectly poised, with {DCGap1stTo3rd} points covering the top 3 drivers.","PSG_10000618","Type = Body1","AddLineBreaks = 2;","","","","À deux courses de la fin, la saison {CurrentYear} est bien équilibrée avec {DCGap1stTo3rd} points entre les trois meilleurs pilotes.","A due gare dal termine, la stagione {CurrentYear} vede un grande equilibrio, con soli {DCGap1stTo3rd} punti a dividere le prime tre posizioni.","In der Saison {CurrentYear} sind noch 2 Rennen zu fahren und sie ist absolut in der Schwebe: Die besten 3 Fahrer teilen sich {DCGap1stTo3rd} Punkte.","A falta de 2 carreras, la temporada {CurrentYear} sigue en el aire, pues solo {DCGap1stTo3rd} puntos separan a los 3 mejores pilotos.","Com duas corridas faltando, a temporada de {CurrentYear} está perfeitamente equilibrada, com apenas {DCGap1stTo3rd} pontos separando os 3 melhores pilotos.","Met nog 2 races te gaan is het seizoen van {CurrentYear} perfect in evenwicht, met {DCGap1stTo3rd} punten voor de beste 3 coureurs.","Még 2 verseny van hátra, és a(z) {CurrentYear}. évi idény tökéletesen kiegyensúlyozott, mivel az első 3 versenyző között {DCGap1stTo3rd} pont van.","Zostały już tylko dwa wyścigi. Sezon {CurrentYear} dobiega końca, a różnica punktowa pomiędzy kierowcami na 1. i 3. miejscu wynosi {DCGap1stTo3rd} pkt.","Осталось 2 гонки, сезон {CurrentYear} г. сбалансирован идеально: разрыв между 1 и 3 местом составляет {DCGap1stTo3rd} очк."
"End of Season","BothChampionshipClose","Type = Body1","MediaPerson","{#1DC:Team}'s {#1DC:Name} is out in front, but he's being chased all the way by {#2DC:Name} and {#3DC:Name}.","PSG_10000626","Type = Body2","AddLineBreaks = 2;","","","","{#1DC:Name} de {#1DC:Team} est actuellement en tête, mais {#2DC:Name} et {#3DC:Name} ne sont pas loin derrière.","{#1DC:Name}, pilota della {#1DC:Team} è in testa, ma alle sue costole troviamo {#2DC:Name} e {#3DC:Name}.","{#1DC:Name} von {#1DC:Team} liegt vorne, wird aber gnadenlos von {#2DC:Name} und {#3DC:Name} gejagt.","{#1DC:Name}, de {#1DC:Team}, va delante, pero tiene a {#2DC:Name} y a {#3DC:Name} pisándole los talones.","{#1DC:Name} da {#1DC:Team} está na frente, mas {#2DC:Name} e {#3DC:Name} estão se aproximando.","<gender^#1DC=F>
{#1DC:Name} van {#1DC:Team} ligt aan kop, maar ze wordt continu op de hielen gezeten door {#2DC:Name} en {#3DC:Name}.
</gender>
<gender^#1DC=M>
{#1DC:Name} van {#1DC:Team} ligt aan kop, maar hij wordt continu op de hielen gezeten door {#2DC:Name} en {#3DC:Name}.
</gender>","A(z){#1DC:Team} csapatból {#1DC:Name} áll az élen, de megállás nélkül üldözi {#2DCDriver} és {#3DCDriver}.","{#1DC:Name} z zespołu {#1DC:Team} jest na przedzie. Dalej plasują się {#2DC:Name} i {#3DC:Name}.","Пилот команды {#1DC:Team} {#1DC:Name} вырвался вперед, но его постоянно преследуют гонщики {#2DC:Name} и {#3DC:Name}."
"End of Season","BothChampionshipClose","Type = Body2","MediaPerson","In the Teams' Championship, {#1TC:Name} ({#1TC:Points} pts) are leading the way, with {#2TC:Name} in close pursuit ({#2TC:Points} pts).","PSG_10000625","","","","","","{#1TC:Name} ({#1TC:Points} pts) mène le classement des écuries, avec {#2TC:Name} non loin derrière ({#2TC:Points} pts).","Nel Campionato costruttori, la {#1TC:Name} ({#1TC:Points} punti) è al comando, con la {#2TC:Name} subito dietro ({#2TC:Points} punti).","In der Teammeisterschaft führt {#1TC:Name} ({#1TC:Points} Punkte) und {#2TC:Name} liegt direkt hinter ihnen ({#2TC:Points} Punkte).","En el campeonato por equipos, {#1TC:Name} ({#1TC:Points} pts) marcha en primer lugar, pero {#2TC:Name} le anda a la zaga ({#2TC:Points} pts).","No Campeonato de Equipes, {#1TC:Name} ({#1TC:Points} pts) está na liderança, com {#2TC:Name} logo atrás ({#2TC:Points} pts).","In het Teams' Championship ligt {#1TC:Name} ({#1TC:Points} pnt) aan kop, met {#2TC:Name} ({#2TC:Points} pnt) dicht daarachter.","A Csapatbajnokságban a(z) {#1TC:Name} ({#1TC:Points} pont) vezet, a(z) {#2TC:Name} szorosan a nyomában ({#2TC:Points} ponttal).","W mistrzostwach drużynowych prowadzi ekipa {#1TC:Name} (z {#1TC:Points} pkt), a zaraz za nią znajduje się zespół {#2TC:Name} (z {#2TC:Points} pkt).","В командном чемпионате ведет команда {#1TC:Name} с {#1TC:Points} очк. Ей на пятки наступает команда {#2TC:Name} ({#2TC:Points} очк.)."
"End of Season","DriverBlastsLeader","","MediaPerson","{#2DC:LastName} Blasts {#1DC:LastName}","PSG_10000065","","","","","","{#2DC:LastName} TACLE {#1DC:LastName}","{#2DC:LastName} CRITICA {#1DC:LastName}","{#2DC:LastName} KRITISIERT {#1DC:LastName}","{#2DC:LastName} ATACA A {#1DC:LastName}","{#2DC:LastName} arrebenta {#1DC:LastName}","{#2DC:LastName} bekritiseert {#1DC:LastName}","{#2DC:LastName} elsöpörte őt: {#1DC:LastName}","{#2DC:LastName} ATAKUJE KIEROWCĘ NAZWISKIEM {#1DC:LastName}","{#2DC:LastName} СОКРУШАЕТ ПИЛОТА {#1DC:LastName}"
"End of Season","DriverBlastsLeader","","MediaPerson","<gender^#1DC=F>
{#2DC:LastName} has claimed that {#1DC:Team} driver {#1DC:Name} is ""mentally weak"" and ""couldn't drive her way out of a supermarket car park"".
</gender>
<gender^#1DC=M>
{#2DC:LastName} has claimed that {#1DC:Team} driver {#1DC:Name} is ""mentally weak"" and ""couldn't drive his way out of a supermarket car park"".
</gender>
","PSG_10000066","","","","","","<gender^#1DC=F>
{#2DC:LastName} a déclaré que {#1DC:Name}, pilote pour {#1DC:Team}, est « mentalement faible » et qu'elle « serait incapable de sortir d'une place de parking de supermarché. »
</gender>
<gender^#1DC=M>
{#2DC:LastName} a déclaré que {#1DC:Name}, pilote pour {#1DC:Team}, est « mentalement faible » et qu'il « serait incapable de sortir d'une place de parking de supermarché. »
</gender>

","{#2DC:LastName} ha definito {#1DC:Name}, pilota della {#1DC:Team}, ""mentalmente instabile"" e ha aggiunto che ""non riuscirebbe a trovare nemmeno l'uscita del parcheggio di un supermercato"".","{#2DC:LastName} behauptet, dass {#1DC:Name} von {#1DC:Team} an „mentaler Schwäche“ leide und „nicht einmal vom Parkplatz eines Supermarkts fahren“ könne.","{#2DC:LastName} ha asegurado que {#1DC:Name}, piloto de {#1DC:Team}, es ""mentalmente débil"" y ""no sabría ni sacar el coche del aparcamiento del supermercado sin ayuda"".","{#2DC:LastName} afirmou que {#1DC:Name}, da {#1DC:Team}, tem a ""cabeça fraca"" e ""não conseguiria nem sair de um estacionamento de supermercado"".","<gender^#1DC=F>
{#2DC:LastName} beweert dat {#1DC:Name} van {#1DC:Team} ""mentaal zwak"" is en ""de parkeergarage van een supermarkt nog niet uit zou kunnen rijden"".
</gender>
<gender^#1DC=M>
{#2DC:LastName} beweert dat {#1DC:Name} van {#1DC:Team} ""mentaal zwak"" is en ""de parkeergarage van een supermarkt nog niet uit zou kunnen rijden"".
</gender>
","{#2DC:LastName} szerint a(z) {#1DC:Team} csapat versenyzője, {#1DC:Name} „fejben gyenge"" and „és még egy szupermarket parkolójából sem tudna kihajtani"".","{#2DC:LastName} twierdzi, że {#1DC:Name} z zespołu {#1DC:Team} przejawia oznaki upośledzenia i że nie da rady wyjechać nawet z parkingu pod sklepem.
","{#2DC:LastName} объявляет, что пилот команды {#1DC:Team} {#1DC:Name} ""тупица"" и ""не может самостоятельно выехать даже с парковки у супермаркета""."
