"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Car Development","PartDesignFinished","Type = Header","Engineer","{CompletedPartDesign} Finished","PSG_10002567","Type = Body0","MailGroup = Team","","","","Conception terminée pour : {CompletedPartDesign}

","<gender^Part=F>
{CompletedPartDesign} terminata
</gender>
<gender^Part=M>
{CompletedPartDesign} terminato
</gender>
<gender^Part=FP>
{CompletedPartDesign} terminate
</gender>
<gender^Part=MP>
{CompletedPartDesign} terminati
</gender>
","{CompletedPartDesign} fertiggestellt","<gender^Part=F>
Diseño de la {CompletedPartDesign} completado
</gender>
<gender^Part=M>
Diseño del {CompletedPartDesign} completado
</gender>
<gender^Part=FP>
Diseño de las {CompletedPartDesign} completado
</gender>
<gender^Part=MP>
Diseño de los {CompletedPartDesign} completado
</gender>","{CompletedPartDesign}: design finalizado","{CompletedPartDesign} voltooid","A(z) {CompletedPartDesign} elkészült","Ukończono {CompletedPartDesign}","{CompletedPartDesign} - проектирование закончено."
"Car Development","PartDesignFinished","Type = Body0","Engineer","We've finished the design for {CompletedPartDesign}! The blueprint is now available for the guys in the factory. ","PSG_10000113","","MailButton = CarScreen","","","","Nous avons terminé la conception de cette pièce : {CompletedPartDesign} ! L'usine a maintenant accès au schéma. ","Abbiamo terminato di progettare: {CompletedPartDesign}! Ora il progetto è disponibile per lo stabilimento. ","<gender^Part=F>
Wir haben die Entwicklung der {CompletedPartDesign} abgeschlossen! Die Blaupause steht den Jungs aus der Konstruktion jetzt zur Verfügung. 
</gender>
<gender^Part=M>
Wir haben die Entwicklung des {CompletedPartDesign} abgeschlossen! Die Blaupause steht den Jungs aus der Konstruktion jetzt zur Verfügung. 
</gender>
<gender^Part=FP>
Wir haben die Entwicklung der {CompletedPartDesign} abgeschlossen! Die Blaupause steht den Jungs aus der Konstruktion jetzt zur Verfügung. 
</gender>
<gender^Part=N>
Wir haben die Entwicklung des {CompletedPartDesign} abgeschlossen! Die Blaupause steht den Jungs aus der Konstruktion jetzt zur Verfügung. 
</gender>
","<gender^Part=F>
¡Hemos terminado el diseño de la {CompletedPartDesign}! Los chicos de la fábrica ya tienen los planos a su disposición. 
</gender>
<gender^Part=M>
¡Hemos terminado el diseño del {CompletedPartDesign}! Los chicos de la fábrica ya tienen los planos a su disposición. 
</gender>
<gender^Part=FP>
¡Hemos terminado el diseño de las {CompletedPartDesign}! Los chicos de la fábrica ya tienen los planos a su disposición. 
</gender>
<gender^Part=MP>
¡Hemos terminado el diseño de los {CompletedPartDesign}! Los chicos de la fábrica ya tienen los planos a su disposición. 
</gender>","<gender^Part=F>
Nós terminamos o design da {CompletedPartDesign}! O projeto está disponível para o pessoal na fábrica. 
</gender>
<gender^Part=M>
Nós terminamos o design do {CompletedPartDesign}! O projeto está disponível para o pessoal na fábrica. 
</gender>
<gender^Part=FP>
Nós terminamos o design das {CompletedPartDesign}! O projeto está disponível para o pessoal na fábrica. 
</gender>
<gender^Part=MP>
Nós terminamos o design dos {CompletedPartDesign}! O projeto está disponível para o pessoal na fábrica. 
</gender>
<gender^Part=N>
Nós terminamos o design de {CompletedPartDesign}! O projeto está disponível para o pessoal na fábrica. 
</gender>","Het ontwerp voor de {CompletedPartDesign} is af! De blauwdruk is nu beschikbaar voor de jongens in de fabriek. ","Befejeztük a(z) {CompletedPartDesign} tervezését! A tervrajz mostantól rendelkezésre áll az üzemben. ","Zakończyliśmy projektowanie części ({CompletedPartDesign})! Chłopaki z fabryki będą mieli teraz do dyspozycji schemat. ","Мы закончили проектировать элемент: <lowercase>{CompletedPartDesign}</lowercase>. Чертеж теперь доступен для людей на заводе."
"Car Development","PerformanceWorkFinished","Type = Header","Mechanic","Performance work complete","PSG_10002570","Type = Body0","MailGroup = Team","","","","Optimisation des performances terminée","Miglioramento prestazioni completato","Leistungsverbesserung abgeschlossen","Se ha completado el trabajo de rendimiento","Trabalho de desempenho completado","Werk aan prestaties voltooid","A teljesítménynövelés befejeződött","Ukończono prace nad wydajnością","Улучшение производительности завершено"
"Car Development","PerformanceWorkFinished","Type = Body0","Mechanic","Hi boss,

The performance work you had us doing in the Factory is now finished.

We're going to help out the reliability team with any work they have to do right now. If you want us to work on performance, then you need to give us some different orders!","PSG_10000114","","MailButton = PartDevelopment","","","","Bonjour,

Les travaux de performance à l'usine sont terminés.

Nous allons aider l'équipe de fiabilité avec son travail en cours. Si vous voulez qu'on travaille sur la performance, donnez-nous d'autres ordres !","Ciao capo, 

I lavori alla prestazione nello stabilimento sono stati completati.

Ora aiuteremo il team per l'affidabilità. Se preferisci che lavoriamo sulla prestazione, facci sapere!","Guten Tag,

Wir haben die beauftragte Leistungsverbesserung abgeschlossen.

Wir werden jetzt dem Zuverlässigkeits-Team etwas unter die Arme greifen. Wenn wir in der Konstruktion noch etwas für Sie erledigen sollen, schicken sie einfach entsprechende Aufträge durch!","Hola,

El trabajo de rendimiento que nos encomendaste en la fábrica ha sido completado.

Vamos a ayudar al equipo de fiabilidad con lo que esté haciendo. Si quieres que hagamos algo con respecto al rendimiento, solo tienes que decirlo.","Oi, chefe,

O trabalho de desempenho que estávamos fazendo na fábrica foi terminado.

Vamos ajudar a equipe de confiabilidade no que eles precisarem. Se você precisar de mais alguma ajuda na questão do desempenho, é só dar as ordens!","Hallo baas,

Het werk aan de prestaties dat je ons in de fabriek liet doen, is nu af.

We gaan nu het betrouwbaarheidsteam helpen. Als je wilt dat we aan de prestaties werken, moet je ons andere instructies geven!","Helló, főnök!

A teljesítménnyel kapcsolatos meló, amivel megbíztál minket az üzemben, befejeződött.

Most segíteni fogunk a megbízhatóságon dolgozó csapatnak azon, amin melóznak. Ha azt szeretnéd, hogy a teljesítményen dolgozzunk, akkor másféle utasításokat kell adnod nekünk!","<gender^Player=F>
Hej, szefowo,

Skończyliśmy prace nad wydajnością, które zleciłaś fabryce.

Pomożemy teraz z pracą zespołowi niezawodności  Jeśli chcesz, byśmy dalej pracowali nad wydajnością, musisz wydać nam odpowiednie polecenia!
</gender>
<gender^Player=M>
Hej, szefie,

Skończyliśmy prace nad wydajnością, które zleciłeś fabryce.

Pomożemy teraz z pracą zespołowi niezawodności  Jeśli chcesz, byśmy dalej pracowali nad wydajnością, musisz wydać nam odpowiednie polecenia!
</gender>","Привет, босс!

Порученные вами работы по улучшению характеристик завершены.

Мы собираемся помочь команде надежности в работе, которой она сейчас занята. Если вы хотите, чтобы мы продолжили улучшать характеристики, дайте нам другое задание! "
"Car Development","ReliabilityWorkFinished","Type = Header","Mechanic","Reliability work complete","PSG_10002571","Type = Body0","MailGroup = Team","","","","Optimisation de la fiabilité terminée","Miglioramento affidabilità completato","Zuverlässigkeitsverbesserung abgeschlossen","Se ha completado el trabajo de fiabilidad","Trabalho de confiabilidade completado","Werk aan betrouwbaarheid voltooid","A(z) megbízhatóság-növelése befejeződött","Ukończono prace nad niezawodnością","Улучшение надежности завершено"
"Car Development","ReliabilityWorkFinished","Type = Body0","Mechanic","Hi boss,

The reliability work you had us doing in the Factory is now finished.

We're going to help out the performance team with their work now, but if you want us to do anything else on the parts' reliability, just say the word!","PSG_10000752","","MailButton = PartDevelopment","","","","Bonjour,

Les travaux de fiabilité à l'usine sont terminés.

Nous allons aider l'équipe de performance avec son travail en cours, mais si vous souhaitez qu'on travaille sur la fiabilité des pièces, faites-nous signe !","Ciao capo,

I lavori all'affidabilità nello stabilimento sono stati completati.

Ora aiuteremo il team per la prestazione. Se preferisci che lavoriamo ancora sull'affidabilità dei componenti, facci sapere!","Guten Tag,

Wir haben die beauftragte Zuverlässigkeitsverbesserung abgeschlossen.

Wir werden jetzt dem Leistungs-Team etwas unter die Arme greifen. Wenn wir noch andere Zuverlässigkeitsarbeiten erledigen sollen, schicken sie einfach entsprechende Aufträge durch!","Hola,

El trabajo de fiabilidad que nos encomendaste en la fábrica ha sido completado.

Vamos a ayudar al equipo de rendimiento con lo que esté haciendo. Si quieres que hagamos algo más con respecto a la fiabilidad de las piezas, solo tienes que decirlo.","Oi, chefe,

O trabalho de confiabilidade que estávamos fazendo na fábrica foi terminado.

Vamos ajudar a equipe de desempenho no serviço deles, mas nos avise se precisar de um reforço na confiabilidade das peças!","Hallo baas,

Het werk aan de betrouwbaarheid dat je ons in de fabriek liet doen, is nu af.

We gaan nu het prestatie-team helpen met hun werk, maar als je wilt dat we nog meer aan de betrouwbaarheid van onderdelen werken dan geef je maar een gil!","Helló, főnök!

A megbízhatósággal kapcsolatos meló, amivel megbíztál minket az üzemben, befejeződött.


Most segíteni fogunk a teljesítményen dolgozó csapatnak, de ha azt szeretnéd, hogy az alkatrészek megbízhatóságán dolgozzunk, akkor csak szólj!","<gender^Player=F>
Hej, szefowo,

Skończyliśmy prace nad niezawodnością, które zleciłaś fabryce.

Pomożemy teraz zespołowi wydajności. Jeśli mamy coś jeszcze zrobić w dziedzinie niezawodności części, daj znać!
</gender>
<gender^Player=M>
Hej, szefie,

Skończyliśmy prace nad niezawodnością, które zleciłeś fabryce.

Pomożemy teraz zespołowi wydajności. Jeśli mamy coś jeszcze zrobić w dziedzinie niezawodności części, daj znać!
</gender>","Привет, босс!

Порученные вами работы по улучшению надежности завершены.

Мы собираемся помочь команде характеристик в работе, которой она сейчас занята. Если вы хотите, чтобы мы продолжили улучшать надежность деталей, дайте задание!"
"Car Development","DesignStaffIdle","Type = Header","Engineer","Design Staff Idle","PSG_10004063","Type = Body0","MailType = RequiresResponse; AddLineBreaks = 2; ResponseType = CarPartDesignInProgress; MailGroup = Team","","","","Personnel de conception disponible","Progettisti inattivi","Entwickler untätig","Ingenieros inactivos","Equipe de design parada","Technici niet actief","A mérnöki stáb tétlen","Inżynierowie nie mają co robić","Конструкторы не заняты"
"Car Development","DesignStaffIdle","Type = Body0","Engineer","{Player:FirstName},","PSG_10004064","Type = Body1","AddLineBreaks = 2","","","","{Player:FirstName},","{Player:FirstName},","{Player:FirstName},","{Player:FirstName},","{Player:FirstName},","{Player:FirstName},","{Player:FirstName},","{Player:FirstName},","{Player:FirstName}!"
"Car Development","DesignStaffIdle","Type = Body1","Engineer","The guys in the DC are just sitting about doing nothing!","PSG_10004065","Type = Body2","AddLineBreaks = 2","","","","Les ingénieurs se tournent les pouces ! ","I ragazzi del Centro di progettazione non stanno facendo niente!","in der Entwicklungsabteilung langweilen sich alle!","¡La gente del departamento de diseño está de brazos cruzados sin hacer nada!","O pessoal no centro de design está parado, sem nada para fazer!","De mensen in het ontwerpcentrum zitten gewoon niets te doen!","A TK-ban a srácok csak ücsörögnek, és nem csinálnak semmit!","Ci z centrum projektowego dłubią sobie w nosach!","Инженеры из конструкторского сидят без дела!"
"Car Development","DesignStaffIdle","Type = Body2","Engineer","You need to give us some work to do!","PSG_10004066","Type = Body3","AddLineBreaks = 2","","","","Il faut que vous nous donniez un truc à faire !","Ci devi dare qualcosa da fare!","Geben Sie uns ein paar Aufträge!","¡Vas a tener que darnos algo que hacer!","Você precisa nos dar algum trabalho para fazer!","Je moet ons iets laten doen!","Adnod kell nekünk valami melót!","Daj nam coś do roboty!","Вы должны дать нам работу!"
