ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
1,Team Player,PSG_10001311,,""The team comes first."",PSG_10001312,,Permanent,,,,,,,2,1,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,
2,Selfish,PSG_10001313,,""I think I'll take that new part..."",PSG_10001314,,Permanent,,,,,,,1,2,,,,,,,,,,,,,,,,,,-10,-10,-10,,,,,,,
3,Media Shy,PSG_10001315,,""An interview? Uh-oh..."",PSG_10001316,,Permanent,,,,,,,4; 289,3,,,,,,,,,,,,,,,,-30,,,,,,,,,,,
4,Narcissist,PSG_10001317,,""Don't touch my hair!"",PSG_10001318,,Permanent,,,,,,,3,4,,,,,,,,,,,,,,,,30,,,,,,,,,,,
5,Ambitious,PSG_10001319,,""My talent has no limits!"",PSG_10001320,,Permanent,,,,,,,7,5,,,,,,,,,,,,,NeedMoreTrophiesBeforeRetiring,Driver wants to win trophies before retirement.,PSG_10011092,,,,,,,,,,20,,
6,Wonderkid,PSG_10007585,,""The sky's the limit!"",PSG_10007586,,Permanent,,,,Age < 21; Potential > 50,,,,6,,,,,,,,,,,,,,,,,,,,,,50,,,,,
7,Content,PSG_10002044,,""I'm happy where I am."",PSG_10002045,,Permanent,,,,,,,5,7,,,,,,,,,,,,,NeedLessTrophiesBeforeRetiring,Driver doesn't care about winning trophies before retirement.,PSG_10011230,,30,,,,,,,,-20,-100,
8,Fearless,PSG_10002046,,""I laugh in the face of danger."",PSG_10002378,,Permanent,,,,,,,9,8,,,,1,,,1,,,,,,,,,,,,,,,,,,,,
9,Scaredy Cat,PSG_10002047,,""Have you double-checked the safety equipment?"",PSG_10002589,,Permanent,,,,,,,8,9,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,
10,Smart,PSG_10002048,,"""As Voltaire once said, 'a witty saying proves nothing'.""",PSG_10003649,,Permanent,,,,,,,11,10,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
11,Dumb,PSG_10002049,,""Well nobody told me <i>not</i> to juggle the brake discs."",PSG_10002722,,Permanent,,,,,,,10,11,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,
12,Shy and Retiring,PSG_10003740,,""Nothing beats a night in with a good book."",PSG_10002593,,Permanent,,,,,,,4,12,,,,,,,,,,,1,,,,,-30,,,,,,,,,,,
13,Spoilt,PSG_10003741,,"""What, you didn't have your own helicopter as a kid?""",PSG_10003742,,Permanent,,,,,,,1; 14,13,,,,,,,,,,,,,,,,,,-15,,,,,,,,,
14,Grounded,PSG_10002054,,""Just off down the pub with the mechanics!"",PSG_10002594,,Permanent,,,,,,,13; 2; 4,14,,,,,,,,,,,,,,,,,,15,,,,,,,,,
15,Ice man,PSG_10002055,,""No."",PSG_10002647,,Permanent,,,,,,,4,15,,,,,,,,,,,,1,,,,-50,,,,,,,,,,,
16,Hard Worker,PSG_10002060,,""See you at 6am for the pre-morning meeting!"",PSG_10002597,,Permanent,,,,,,,17,16,,,,,,,,,,1,,,,,,,,15,,,,,,,,,
17,Slacker,PSG_10002059,,"""Meh, I'll do it this afternoon...""",PSG_10002598,,Permanent,,,,,,,16; 297,17,,,,,,,,,,-1,,,,,,,,-15,,,,,,,,,
18,Greedy,PSG_10002063,,""I need all of the new parts!"",PSG_10002600,,Permanent,,,,,,,19,18,,,,,,,,,,,,,CarHappinessBonus,"The driver would like to be given every newly-designed part. ",PSG_10009818,,,,,,,,,,,,
19,Selfless,PSG_10002064,,""We should do whatever's best for the team."",PSG_10002601,,Permanent,,,,,,,18,19,,,,,,,,,,,,,CarHappinessNegative,The driver does not mind if they aren't given every newly-designed part.,PSG_10009819,,,,,,,,,,,,
20,Beautiful,PSG_10002065,,""It's not my fault I was born with this perfect bone structure."",PSG_10002602,,Permanent,,,,,,,21,20,,,,,,,,,,,,,,,,30,,,,,,,,,,,
21,Ugly,PSG_10002066,,""Why don't I ever get asked to do any adverts?"",PSG_10002603,,Permanent,,,,,,,20,21,,,,,,,,,,,,,,,,-30,,,,,,,,,,,
22,Nice guy,PSG_10002069,,""Hey guys! I bought everyone cupcakes! There are some gluten free ones if you have allergies!"",PSG_10002606,,Permanent,,,,,,,23,22,,,,,,,,,,,,,,,,,,5,5,5,,,,,,,
23,Mean,PSG_10002070,,"""Hey, if people can't handle my opinions, too bad!""",PSG_10002607,,Permanent,,,,,,,22,23,,,,,,,,,,,,,,,,,,-5,-5,-5,,,,,,,
24,Passionate,PSG_10002058,,""To race is to live! To exist on the ragged edge!"",PSG_10002596,,Permanent,,,,,,,,24,,,,,,,,,,,,,NeedMoreTrophiesBeforeRetiring,Driver wants to win trophies before retirement.,PSG_10011092,,,,,,,,,,20,-100,
25,Mercenary,PSG_10002072,,""Racing is just a job to me."",PSG_10002610,,Permanent,,,,,,,,25,,,,,,,,,,,,,NeedLessTrophiesBeforeRetiring,Driver doesn't care about winning trophies before retirement.,PSG_10011230,,,,,,,,,,-20,100,
26,Dedicated,PSG_10003745,,"""I was thinking about the front wing aero over the winter break, and I had an idea...""",PSG_10002612,,Permanent,,,,,,,,26,,,,,,,,,,,,,,,,,,10,,,,,,,,,
27,Crazy,PSG_10003746,,"""Lizard men! They run EVERYTHING! You're denying it?! Then you're one of them, I knew it!""",PSG_10002613,,Permanent,,,,,,,,27,,,,,,,,,,,,,,,,,,-100,,,,,,,,,
28,OCD,PSG_10001321,,"""Is just it me, or are those spanners slightly out of line?""",PSG_10001322,,Permanent,,,,,,,,28,,,,,,,,,,,,,,,,,,-30,,,,,,,,,
29,Pet Dog,PSG_10001323,,""That thing just bit one of the mechanics!"",PSG_10001324,,Permanent,,,,,,,,29,,,,,,,,,,,,,,,,,,-20,,,,,,,,,
30,Annoying Other Half,PSG_10001325,,""She spilt her coffee on the front wing again..."",PSG_10001326,,Permanent,,,,,,,,30,,,,,,,,,,,,,,,,,,-10,,,,,,,,,
31,Boring winner,PSG_10001340,,""Again? *yawn*"",PSG_10001341,,Temp,,1,PostRace,ConsecutiveWins >= 3,,,,31,,,,,,,,,,,,,,,,-20,,,,,,,,,,,
32,Chubby,PSG_10001344,,""What? No. It's glandular."",PSG_10001345,,Permanent,,,,,,,33,32,,,,,,,,,,-1,,,,,,,,,,,,,,,,,
33,Health Freak,PSG_10001346,,""Celery is a life choice."",PSG_10002616,,Permanent,,,,,,,32,33,,,,,,,,,,+1,,,,,,,,,,,,,,,,,
34,Wise old hand,PSG_10001350,,"""Now listen here, sonny boy...""",PSG_10002620,,Permanent,,,,,,,,34,,,,,,,,,,,,,,,,,,10,10,,,,,,,,
35,Old,PSG_10001351,,"""Ooh, my hip!""",PSG_10001352,,Permanent,,,,Age > 30,,,,35,,,-2,,,,,,,,,,,,,,,,,,,,,,,,
36,Young gun,PSG_10001353,,""There's a new sheriff in town..."",PSG_10002621,,Temp,,100,,Age < 21,,,,36,,,,,,,,,,,,,,,,,,10,,,,,,,,,
37,Greenhorne,PSG_10001354,,""What do all of these buttons do?!"",PSG_10001355,,Temp,,12,,,,,,37,,,,,,,,,,,,,,,,,,-10,,,,,,,,,
38,Optimist,PSG_10001357,,"""Awesome, the fuel tank is still half full!""",PSG_10002623,,Permanent,,,,,,,39,38,,,,,,,,,,,,,,,,,10,,,,,,,,,,
