"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Event Feed","Events","","HUDText","Green Flags! The session starts.","PSG_10002755","","","","","","","Drapeaux verts ! La manche commence.","Bandiere verdi! Via alla sessione.","Grüne Flaggen! Das Rennen geht los!","¡Banderas verdes! Empieza la sesión.","Bandeiras verdes! A sessão começa.","Groene vlaggen! De sessie begint.","Zöld zászlók! Kezdődik a verseny.","Zielone flagi! Wyścig się zaczyna.","Зеленые флаги! Сессия начинается."
"Event Feed","Events","","HUDText","Green Flags! Overtaking ","PSG_10002771","","","","","","","Drapeaux verts ! Dépassement. ","Bandiere verdi! Sorpasso! ","Grüne Flaggen! Überholen! ","¡Banderas verdes! Adelantamiento.","Bandeiras verdes! Ultrapassando ","Groene vlaggen! Inhalen ","Zöld zászlók! Előzés","Zielone flagi! Wyprzedzanie ","Зеленые флаги! Обгон. "
"Event Feed","Events","","HUDText","Chequered Flag! The race is over.","PSG_10002756","","","","","","","Drapeau à damier ! La course est terminée.","Bandiera a scacchi! La gara è conclusa.","Die Zielflagge! Das Rennen ist vorbei.","¡Bandera a cuadros! La carrera ha terminado.","Bandeira quadriculada! A corrida acabou.","Geruite vlag! De race is voorbij.","Kockás zászló! A versenynek vége.","Flaga w szachownicę! Koniec wyścigu.","Клетчатый флаг! Гонка окончена."
"Event Feed","Events","","HUDText","Green Flag! Go, go, go!","PSG_10002757","","","","","","","Drapeau vert ! Plein gaz !","Bandiera verde! Via, via, via!","Die grüne Flagge! Los, los, los!","¡Bandera verde! ¡Vamos, vamos!","Bandeira verde! Vai, vai, vai!","Groene vlag! Kom op!","Zöld zászló! Gyerünk, gyerünk, gyerünk!","Zielona flaga! Naprzód, naprzód!","Зеленый флаг! Пошел, пошел!"
"Event Feed","Events","","HUDText","Red Flag! The race stops.","PSG_10002758","","","","","","","Drapeau rouge ! Arrêt de la course.","Bandiera rossa! La gara si ferma.","Eine rote Flagge! Das Rennen wird beendet.","¡Bandera roja! La carrera se detiene.","Bandeira vermelha! A corrida para.","Rode vlag! De race stopt.","Piros zászló! Leállítják a versenyt.","Czerwona flaga! Wyścig wstrzymany.","Красный флаг! Гонка остановлена."
"Event Feed","Events","","HUDText","Yellow Flag! Drivers must slow.","PSG_10002759","","","","","","","Drapeau jaune ! Les pilotes doivent ralentir.","Bandiera gialla! I piloti devono rallentare.","Eine gelbe Flagge! Die Fahrer müssen langsamer werden.","¡Bandera amarilla! Los pilotos deben reducir la marcha.","Bandeira amarela! Os pilotos devem diminuir a velocidade.","Gele vlag! Coureurs moeten langzamer gaan.","Sárga zászló! A pilótáknak lassítaniuk kell.","Żółta flaga! Kierowcy muszą zwolnić.","Желтый флаг! Всем сбавить скорость."
"Event Feed","Events","","HUDText","Waved Yellow Flags! Drivers must slow. No overtaking allowed.","PSG_10002760","","","","","","","Drapeaux jaunes agités ! Les pilotes doivent ralentir. Dépassements interdits.","Ecco le bandiere gialle! I piloti devono rallentare. Niente sorpassi.","Gelbe Flaggen werden geschwenkt! Die Fahrer müssen langsamer werden. Überholen verboten.","¡Banderas amarillas ondeando! Los pilotos deben reducir la marcha. No está permitido adelantar.","Bandeiras amarelas agitadas! Os pilotos devem diminuir a velocidade. Ultrapassagem não permitida.","Zwaaiende gele vlaggen! Coureurs moeten langzamer gaan. Inhalen niet toegestaan.","Sárga zászlókat lengetnek! A pilótáknak lassítaniuk kell. Előzni tilos.","Żółte flagi w powietrzu! Kierowcy muszą zwolnić. Wyprzedzanie nie jest dozwolone.","Желтые флаги! Всем сбавить скорость. Обгоны запрещены."
"Event Feed","Events","","HUDText","Safety Car! ","PSG_10002761","","","","","","","Voiture de sécurité ! ","Safety car! ","Das Safety Car! ","¡Coche de seguridad! ","Safety car ","Safety car! ","Biztonsági autó","Samochód bezpieczeństwa! ","Машина безопасности! "
"Event Feed","Events","","HUDText","Session ending in {TimeRemaining} minutes!","PSG_10002762","","","","","","","Fin de la manche dans {TimeRemaining} minutes !","La sessione terminerà tra {TimeRemaining} minuti!","Rennen endet in {TimeRemaining} Minuten!","¡La sesión termina en {TimeRemaining} minutos!","Sessão terminando em {TimeRemaining} minutos!","Sessie eindigt over {TimeRemaining} minuten!","A versenynek {TimeRemaining} perc múlva vége!","Jeszcze {TimeRemaining} min do końca wyścigu!","Сессия завершается через {TimeRemaining} мин.!"
"Event Feed","Events","","HUDText","Session ending in {LapsRemaining} laps!","PSG_10002763","","","","","","","Fin de la manche dans {LapsRemaining} tours !","La sessione terminerà tra {LapsRemaining} giri!","Rennen endet in {LapsRemaining} Runden!","¡La sesión termina en {LapsRemaining} vueltas!","Sessão terminando em {LapsRemaining} voltas!","Sessie eindigt over {LapsRemaining} rondes!","A versenynek {LapsRemaining} kör múlva vége!","Wyścig kończy się za {LapsRemaining} okrążeń!","Сессия завершается через {LapsRemaining} крг.!"
"Event Feed","Events","","HUDText","{OvertakeDriver} has overtaken {OvertakenDriver} for {OvertakePosition} position","PSG_10002764","","","","","","","{OvertakeDriver} a dépassé {OvertakenDriver} et pris la {OvertakePosition} place","{OvertakeDriver} ha sorpassato {OvertakenDriver} e ha guadagnato la {OvertakePosition} posizione","{OvertakeDriver} hat {OvertakenDriver} auf {OvertakePosition} Position überholt.","{OvertakeDriver} ha adelantado a {OvertakenDriver} para ocupar el {OvertakePosition} puesto.","{OvertakeDriver} ultrapassou {OvertakenDriver} para o {OvertakePosition} lugar","{OvertakeDriver} heeft {OvertakenDriver} ingehaald en staat nu {OvertakePosition}.","{OvertakeDriver} {OvertakenDriver} elé került, így most ő a(z) {OvertakePosition}.","{OvertakeDriver} wyprzedza kierowcę, {OvertakenDriver} zajmując miejsce {OvertakePosition}.","{OvertakeDriver} обгоняет пилота {OvertakenDriver} и занимает {OvertakePosition} позицию."
"Event Feed","Events","","HUDText","Weather changed to: {CurrentWeather}","PSG_10003293","","","","","","","Changement météo : {CurrentWeather}","Il clima è diventato: {CurrentWeather}","Wetteränderung: {CurrentWeather}","El tiempo ha cambiado a: {CurrentWeather}","Tempo mudou para: {CurrentWeather}","Weer gewijzigd in: {CurrentWeather}","Időjárás-változás: {CurrentWeather} idő","Zmiana pogody: {CurrentWeather}","Смена погодных условий: {CurrentWeather}"
"Event Feed","Events","","HUDText","Crashed","PSG_10007789","","","","","","","Accident","Incidente","Unfall","Accidente","Bateu","Gecrasht","Karambolozott","ROZBITY","Пилот разбился"
"Event Feed","Events","","HUDText","Retired","PSG_10007790","","","","","","","Abandon","Ritiro","Ausgeschieden","Abandono","Abandonou","Uitgevallen","Visszavonult","WYCOFANY","Пилот сошел с трассы"
"Event Feed","CurrentWeather","","HUDText","Clear","PSG_10003295","","","","","","","Dégagé","Sereno","Heiter","Despejado","Limpo","Helder","Tiszta","Bezchmurne niebo","безоблачно"
"Event Feed","CurrentWeather","","HUDText","Cloudy","PSG_10003296","","","","","","","Couvert","Nuvoloso","Bewölkt","Nublado","Nublado","Bewolkt","Felhős","Pochmurne niebo","облачно"
"Event Feed","CurrentWeather","","HUDText","Overcast","PSG_10003297","","","","","","","Nuageux","Cielo coperto","Bedeckt","Cubierto","Encoberto","Zwaar bewolkt","Borult","Duże zachmurzenie","сильная облачность"
"Event Feed","CurrentWeather","","HUDText","Storm Clouds","PSG_10003298","","","","","","","Très nuageux","Nuvole da temporale","Sturmwolken","Nubes de tormenta","Nuvens de tempestade","Stormwolken","Viharfelhős","Chmury burzowe","грозовые облака"
"Event Feed","CurrentWeather","","HUDText","Rainy","PSG_10003299","","","","","","","Bruineux","Piovoso","Regnerisch","Lluvioso","Chuvoso","Regenachtig","Esős","Deszczowo","дождь"
"Event Feed","CurrentWeather","","HUDText","Heavy Rain","PSG_10003300","","","","","","","Pluvieux","Diluvio","Starkregen","Lluvia intensa","Chuva forte","Zware regen","Szakadó esős","Ulewa","ливень"
"Event Feed","CurrentWeather","","HUDText","Stormy","PSG_10003301","","","","","","","Orageux","Tempestoso","Stürmisch","Tormentoso","Tempestade","Stormachtig","Viharos","Burzowo","шторм"
"Event Feed","CurrentWeather","","HUDText","Monsoon Conditions","PSG_10003302","","","","","","","Mousson","Monsoni","Monsunbedingungen","Monzón","Monções","Stortbuien","Monszunos","Monsun","муссон"
"Event Feed","PredictedWeather","","HUDText","Clear skies","PSG_10003305","","","","","","","Ciel dégagé","Cielo limpido","Klarer Himmel","Cielos despejados","Céu limpo","Heldere lucht","Tiszta ég","Bezchmurne niebo","безоблачно"
"Event Feed","PredictedWeather","","HUDText","Clouds","PSG_10003306","","","","","","","Nuages blancs","Nuvole","Wolken","Nubes","Nuvens","Wolken","Felhős","Pochmurne niebo","облачно"
"Event Feed","PredictedWeather","","HUDText","Overcast Clouds","PSG_10003307","","","","","","","Nuages gris","Cielo coperto da nuvole","Wolkenverhangen","Nubes densas","Nuvens escuras","Zwaar bewolkt","Borult","Duże zachmurzenie","сильная облачность"
"Event Feed","PredictedWeather","","HUDText","Storm Clouds","PSG_10003308","","","","","","","Nuages noirs","Nuvole da temporale","Sturmwolken","Nubes de tormenta","Nuvens de tempestade","Stormwolken","Viharfelhős","Chmury burzowe","грозовые облака"
"Event Feed","PredictedWeather","","HUDText","Rain","PSG_10003309","","","","","","","Bruine","Pioggia","Regen","Lluvia","Chuva","Regen","Esős","Deszcz","дождь"
"Event Feed","PredictedWeather","","HUDText","Heavy Rain","PSG_10003310","","","","","","","Déluge","Diluvio","Starkregen","Lluvia intensa","Chuva forte","Zware regen","Szakadó esős","Ulewa","ливень"
"Event Feed","PredictedWeather","","HUDText","Storms","PSG_10003311","","","","","","","Orage","Tempeste","Sturm","Tormentas","Tempestades","Storm","Viharos","Burze","шторм"
"Event Feed","PredictedWeather","","HUDText","Monsoon Conditions","PSG_10003312","","","","","","","Mousson","Monsoni","Monsunbedingungen","Condiciones de monzón","Condições de monções","Stortbuien","Monszunos","Monsun","муссон"
"Event Feed","Events","","HUDText","{PredictedWeather} forecast in {TimeToWeatherChange} minutes","PSG_10002766","","","","","","","Prévision météo : {PredictedWeather} dans {TimeToWeatherChange} minutes","Il clima sta per cambiare: {PredictedWeather} tra {TimeToWeatherChange} minuti.","Voraussage: {PredictedWeather} in {TimeToWeatherChange} Minuten","{PredictedWeather} en {TimeToWeatherChange} minutos.","Há previsão de {PredictedWeather} em {TimeToWeatherChange} minutos","{PredictedWeather} voorspeld over {TimeToWeatherChange} minuten","Előrejelzett {PredictedWeather} idő {TimeToWeatherChange} perc múlva","{PredictedWeather} za {TimeToWeatherChange} min","Прогноз погоды: {PredictedWeather} через {TimeToWeatherChange} мин."
"Event Feed","Events","","HUDText","Lights out! Go, go, go!","PSG_10002772","","","","","","","C'est parti ! Allez !","Partenza! Via, via, via!","Licht aus! Los, los, los!","¡Fuera! ¡Vamos, vamos!","Foi dada a largada! Vai, vai, vai!","De lichten zijn uit! Ga!","A lámpák kialszanak! Gyerünk, gyerünk, gyerünk!","Światła zgasły! Naprzód, naprzód!","Огни погасли! Пошел, пошел!"
"Event Feed","Events","","HUDText","{Driver} HAS TO RETIRE","PSG_10000356","","","","","","","{Driver} A DÛ SORTIR DE LA COURSE","{Driver} DEVE RITIRARSI","{Driver} MUSS AUFGEBEN","{Driver} TIENE QUE RETIRARSE","{Driver} TEM QUE SAIR DA CORRIDA","{Driver} MOET ZICH TERUGTREKKEN","{Driver}: FEL KELL ADNIA","{Driver} MUSI ZJECHAĆ Z TORU","ПИЛОТУ {Driver} НУЖНО СОЙТИ С ДИСТАНЦИИ"
"Event Feed","Events","","HUDText","{Driver} HAS RETIRED","PSG_10000357","","","","","","","{Driver} EST SORTI DE LA COURSE","{Driver} SI È RITIRATO","{Driver} HAT AUFGEGEBEN","{Driver} SE HA RETIRADO","{Driver} SAIU DA CORRIDA","{Driver} HEEFT ZICH TERUGGETROKKEN","{Driver}: FELADTA","{Driver} ZJEŻDŻA Z TORU","{Driver} СХОДИТ С ДИСТАНЦИИ"
"Event Feed","RunWide","","HUDText","{Subject:Name} ran wide","PSG_10012259","","","","","","","{Subject:Name} a fait une sortie large","{Subject:Name} ha mancato la traiettoria","{Subject:Name} ist von der Strecke abgekommen","{Subject:Name} se sale de la pista","{Subject:Name} saiu da pista","{Subject:Name} heeft de bocht te ruim genomen","{Subject:Name} kisodródott","{Subject:Name} zjeżdża z toru","Пилот {Subject:Name} съехал с трассы"
"Event Feed","CutCorner","","HUDText","{Subject:Name} cut a corner","PSG_10012260","","","","","","","{Subject:Name} a coupé un virage","{Subject:Name} ha tagliato una curva","{Subject:Name} hat eine Kurve geschnitten","{Subject:Name} ataja en la curva","{Subject:Name} cortou uma curva","{Subject:Name} heeft een bocht afgesneden","{Subject:Name} levágott egy kanyart","{Subject:Name} ścina zakręt","Пилот {Subject:Name} срезал угол"
"Practice","RaceHUDTooltips","","HUDText","This panel shows you the conditions of the track. ","PSG_10000279","","","","","","","Cette fenêtre vous informe sur les conditions du circuit. ","Questo pannello mostra le condizioni del tracciato. ","Auf dieser Anzeige wird der Streckenzustand beschrieben. ","Este panel muestra las condiciones del circuito. ","Este painel mostra as condições da pista. ","Dit paneel geeft de conditie van het circuit weer. ","Ez a panel a pálya állapotát mutatja.","Ten panel pokazuje ci warunki panujące na torze. ","В этом окне показано состояние трассы. "
"Practice","WrongTyresWets","","AnyDriver","These are the wrong tyres! Wets?! What the hell!","PSG_10000576","","","","","","","Ce ne sont pas les bons pneus ! Des pneus pluie ? Quelle erreur !","Queste gomme sono sbagliate! Ma che diavolo, sono da bagnato!","Das sind die falschen Reifen! Regenreifen? Was soll der Mist?","¡Pero qué me habéis puesto! ¿Neumáticos de lluvia? ¡Yo alucino con vosotros...!","Estes são os pneus errados! De chuva? Que diabos?","Dit zijn de verkeerde banden! Wets?! Mijn God!","Ezek rossz gumik! Esőgumikat feltenni? Mi a franc!","Nie te opony! Deszczówki? Co to ma być?","Это не те покрышки! Дождевые?! Какого черта?!"
"Practice","WrongTyresWets","","AnyDriver","Why haven't you brought me in to change from wets yet?","PSG_10004563","","","","","","","Vous attendez quoi pour me retirer ces pneus pluie ?","Perché non mi hai ancora fatto cambiare le gomme da bagnato?","Warum haben Sie mich noch nicht reingerufen, um auf Trockenreifen zu wechseln?","¿Se puede saber por qué no estoy en boxes ya quitándome los de lluvia?","Por que você ainda não me chamou para os boxes para tirar os pneus de chuva?","Waarom heb je me nog niet binnengehaald om die wets te wisselen?","Miért nem hívtatok még be, hogy lecseréljem az esőgumikat?","Dlaczego nie kazaliście jeszcze zmienić opon deszczowych?","Почему вы мне дождевую резину не сменили еще?"
"Practice","WrongTyresWets","","AnyDriver","Um, the track is dry now boss... We need to get off these wet tyres!","PSG_10004564","","","","","","","Hum, la piste est désormais sèche, chef... Il faut m'enlever ces pneus pluie !","Umm, la pista è asciutta ora, capo... Dobbiamo cambiare le gomme da bagnato!","Also ... die Strecke ist jetzt trocken. Diese Regenreifen müssen weg!","Hum, la pista se ha secado... ¡Tenemos que quitar los de lluvia!","Ah, a pista está seca agora, chefe... temos que tirar esses pneus de chuva!","Eh, het circuit is nu droog, baas... We moeten van deze wetbanden af!","Izé, a pálya már száraz, főnök... Le kell szednünk ezeket az esőgumikat!","Eee, tor jest już suchy, szefie... Musimy zdjąć opony deszczowe!","Эм… Трасса уже сухая, босс. Нам надо снимать дождевую резину!"
"Practice","WrongTyresWets","","AnyDriver","Can we PLEASE change from wets?! It's dry out here!","PSG_10004565","","","","","","","Est-ce qu'on pourrait m'enlever ces pneus pluie ?! C'est tout sec maintenant !","Possiamo cambiare le gomme da bagnato, PER FAVORE? Oramai la pista è asciutta!","Können wir BITTE auf Trockenreifen wechseln? Hier ist alles trocken!","¡¿Me podéis cambiar los neumáticos?! ¡La pista está seca!","Podemos, por favor, tirar os pneus de chuva? Está bem seco aqui!","Kunnen we die wets ALSJEBLIEFT wisselen? Het is hier droog!","KÉRHETNÉM, hogy levegyük az esőgumikat?! Idekint minden száraz!","Czy możemy wreszcie zdjąć deszczowe opony?! Tor już wysechł!","А можно уже сменить дождевую резину, ПОЖАЛУЙСТА?! Тут сухо уже!"
"Practice","WrongTyresNeedWets","","AnyDriver","It's tipping it down out here! Can we change onto wets?","PSG_10004650","","","","","","","Il commence à bien flotter ! Est-ce qu'on pourrait changer mes pneus ?","Sta iniziando a piovere! Possiamo montare le gomme da bagnato?","Hier gießt es wie aus Eimern! Können wir Regenreifen aufziehen?","¡Está lloviendo con ganas! ¿Podemos poner los de lluvia?","Está começando a chover aqui! Podemos trocar para pneus de chuva?","Het giet! Kunnen we naar wets wisselen?","Összevissza csúszkálok! Nem tehetnénk fel az esőgumikat?","Strasznie tu leje! Możemy przerzucić się na deszczówki?","Тут капает! На дождевую меняем?"
"Practice","WrongTyresNeedWets","","AnyDriver","Let's get the cars out on wet tyres!","PSG_10004651","","","","","","","C'est le moment de passer en pneus pluie !","Montiamo le gomme da bagnato!","Wir sollten auf Regenreifen wechseln!","Vamos a poner los de lluvia a los coches, ¿no?","Vamos colocar os pneus de chuva nos carros!","Laten we wetbanden onder de wagens zetten!","Tegyük fel a kocsikra az esőgumikat!","Zmieńmy opony na deszczowe!","Поставим болид на дождевую резину!"
"Practice","WrongTyresNeedWets","","AnyDriver","Can I come in for wets?","PSG_10004652","","","","","","","Est-ce que je peux venir pour mettre des pneus pluie ?","Posso rientrare per montare le gomme da bagnato?","Darf ich für Regenreifen reinkommen?","¿Puedo entrar a por los mojados?","Posso entrar para colocar pneus de chuva?","Mag ik binnenkomen voor wets?","Bejöhetek az esőgumikért?","Mogę zjechać po deszczowe opony?","Можно я заеду сменить резину на дождевую?"
"Practice","WrongTyresNeedWets","","AnyDriver","I need to pit for wets! What the hell am I doing out on slicks?!","PSG_10004653","","","","","","","J'ai besoin du stand pour mettre des pneus pluie ! Qu'est-ce que je fous encore avec des pneus secs ?!","Ho bisogno di fermarmi per montare le gomme da bagnato! Che diavolo ci faccio ancora con le lisce?","Ich muss auf Regenreifen wechseln! Warum zum Teufel fahre ich hier noch auf Trockenreifen rum?","¡Necesito entrar a por los de lluvia! ¡No sé por qué sigo corriendo con los lisos!","Preciso ir para o pit para os pneus de chuva! Por que diabos ainda estou com slicks?","Ik moet pitten voor wets! Wat doe ik hier in godsnaam op slicks?!","Ki kell mennem a bokszba az esőgumikért! Mi a francot kezdjek a simával?!","Muszę zjechać do pit stopu po deszczówki! Jak mam jeździć na slikach?","Мне нужно в пит, поставить дождевую резину! Какого черта я на сликах?"
"Practice","WrongTyresInters","","AnyDriver","Should we still be out on inters right now?","PSG_10002393","","","","","","","Devrais-je vraiment continuer à rouler en pneus intermédiaires ?","È il caso di continuare ad usare le gomme intermedie, ora come ora?","Wir dürfen jetzt auf keinen Fall mit Intermediates fahren! Mann! Anfängerfehler!","¿Deberíamos seguir con intermedios en este momento?","Será que ainda precisamos estar usando pneus intermediários?","Zouden we nu nog steeds op inters moeten rijden?","Kizárt, hogy most intermediate-en kellene mennünk. Ugyan már! Elemi hiba!","Nie powinniśmy korzystać teraz z przejściówek! Przecież to podręcznikowy błąd!","Нельзя нам сейчас ехать на промежуточных. Ты что?! Детская ошибка!"
"Practice","WrongTyresInters","","AnyDriver","The track has dried out, boss… let's pit for slicks!","PSG_10004566","","","","","","","La piste a séché, chef... Faisons un passage au stand pour mettre des pneus lisses !","La pista è asciutta, capo... montiamo le gomme lisce!","Die Strecke ist getrocknet ... Es wird Zeit, auf Trockenreifen zu wechseln.","La pista está seca... ¡mejor ponemos los lisos!","A pista já secou, chefe... vamos entrar para colocar os slicks!","De baan is opgedroogd, baas... laten we pitten voor slicks!","A pálya felszáradt, főnök… hadd menjek ki a bokszba a simákért!","Tor wysechł, szefie... przerzućmy się na sliki!","Трасса высохла, босс… Надо в пит за сликами!"
"Practice","WrongTyresInters","","AnyDriver","Why aren't we on slicks yet?! The track is drying!","PSG_10004567","","","","","","","J'espère que vous avez une bonne raison de me laisser rouler avec des pneus intermédiaires, chef !","Spero ci sia una dannata buona ragione se monto ancora le gomme intermedie, capo!","Ich hoffe, es hat einen verdammt guten Grund, dass ich immer noch auf Intermediates fahre!","¡Espero que sepáis explicarme por qué me tenéis corriendo con los intermedios!","É melhor você ter uma boa razão para me deixar com os intermediários, chefe!","Waarom zitten we nog niet op slicks?! Het circuit droogt op!","Jobb lesz, ha van valami átkozottul jó oka annak, főnök, amiért még mindig az intermediate-en megyek!","Lepiej, żeby był jakiś dobry powód, dla którego wciąż jadę na przejściowych, szefie!","Босс, надеюсь, у вас есть чертовски веские причины оставлять меня на промежуточных!"
"Practice","WrongTyresInters","","AnyDriver","What exactly is the logic behind leaving me out on inters?! I need to pit!","PSG_10004568","","","","","","","Je ne comprends pas l'intérêt de me laisser rouler avec des pneus intermédiaires, j'ai besoin du stand !","Qual è la logica nascosta dietro a alla scelta di lasciarmi con le intermedie? Ho bisogno di entrare ai box!","Was denkt ihr euch dabei, mich noch auf Intermediates fahren zu lassen? Ich brauche einen Boxenstopp!","Pero ¡¿por qué me dejáis que siga con los intermedios?! ¡Tengo que parar YA!","Qual é a lógica em me deixar com intermediários? Preciso ir para os boxes!","Wat was precies de logica achter mijn inters? Ik moet pitten!","Pontosan mi miatt vagyok még mindig intermediate-en? Ki kell mennem a bokszba!","Dlaczego zostawiacie mnie na oponach przejściowych? Muszę zjechać do pit stopu!","А в чем логика оставлять меня на промежуточных вообще? Мне надо в пит!"
"Practice","WrongTyresNeedInters","","AnyDriver","It's a bit damp out on track… can I come in for inters?","PSG_10004654","","","","","","","La piste est un chouia humide... Il vaudrait sûrement mieux rouler sur des pneus intermédiaires, non ? ","la pista sembra un po' umida... Dovrei montare le intermedie?","Die Strecke wird langsam feucht. Sollte ich nicht auf Intermediates wechseln?","La pista está mojada... ¿no debería poner los intermedios?","Está um pouco úmido na pista... eu não deveria estar com intermediários?","Het is een beetje vochtig op het circuit… kan ik binnenkomen voor inters?","Kicsit vizes a pálya… nem kellene intermediate-re állnunk?","Robi się trochę wilgotno... nie pora na opony przejściowe?","Сыровато на трассе… может мне промежуточные нужны, нет?"
"Practice","WrongTyresNeedInters","","AnyDriver","I want to come in for inters, guys!","PSG_10004655","","","","","","","J'aimerais un arrêt au stand pour poser des pneus intermédiaires, les gars !","Voglio rientrare per montare le intermedie, ragazzi!","Ich würde mir gerne Intermediates abholen!","¡Gente, la pista está para intermedios!","Eu quero entrar para trocar por pneus intermediários!","Ik wil binnenkomen voor inters, jongens!","Be akarok menni az intermediate-ért, srácok!","Chcę zjechać po przejściowe!","Ребята, я хочу заехать и поставить промежуточные!"
"Practice","WrongTyresNeedInters","","AnyDriver","I need to pit for intermediates, boss!","PSG_10004656","","","","","","","J'ai besoin de m'arrêter au stand pour des pneus intermédiaires, chef !","Devo montare le intermedie, capo!","Ich muss in die Box, es ist Zeit für Intermediates!","¡Tengo que poner los intermedios lo antes posible!","Preciso ir para o pit para pneus intermediários, chefe!","Ik moet pitten voor intermediates, baas!","Ki kell mennem a bokszba az intermediate-ért, főnök!","Muszę zjechać do pit stopu po opony przejściowe!","Босс, мне надо в пит за промежуточными!"
"Practice","WrongTyresNeedInters","","AnyDriver","Let's pit for inters… it's a bit damp out here!","PSG_10004657","","","","","","","Arrêtons-nous au stand pour des pneus intermédiaires, c'est un peu mouillé ici !","Montiamo le intermedie... la pista è abbastanza umida qui fuori!","Wir sollten einen Boxenstopp für Intermediates einlegen, hier wird es nass!","Vamos a poner los intermedios... ¡La pista está mojada!","Vamos para o pit e colocar os intermediários... está úmido aqui!","Laten we pitten voor inters… het is een beetje vochtig hier!","Hadd menjek ki a bokszba az intermediate-ért… kicsit vizes idekint!","Zróbmy pit stop po przejściowe... robi się nieco mokro!","Давайте-ка в пит за промежуточными… тут немного мокро!"
