Rule Type,Rule Group,ID,Locked To Player Vote,Display Rule,Rule Name,Rule Name ID,Rule Description,Rule Description ID,Message Trigger,Effect Type,Object Type,Unlocks,Benefits,Challenges
Practice Length,PracticeLength,1,FALSE,TRUE,Short Practice Sessions,PSG_10004395,Practice sessions last {RuleSessionLength}.,PSG_10006425,Source = PracticeSessions,Practice(Short),,,TeamQualityLow,TeamQualityHigh
Practice Length,PracticeLength,2,FALSE,TRUE,Medium Length Practice Sessions,PSG_10004396,Practice sessions last {RuleSessionLength}.,PSG_10006426,Source = PracticeSessions,Practice(Medium),,,TeamQualityAverage,TeamQualityLow
Practice Length,PracticeLength,3,FALSE,TRUE,Long Practice Sessions,PSG_10004397,Practice sessions last {RuleSessionLength}.,PSG_10006427,Source = PracticeSessions,Practice(Long),,,TeamQualityHigh,TeamQualityLow
Qualifying Length,QualifyingLength,4,FALSE,TRUE,Short Qualifying Sessions,PSG_10004398,Qualifying sessions last {RuleSessionLength}.,PSG_10006428,Source = QualifyingSessions,Qualifying(Short),,,TeamQualityLow,TeamQualityHigh
Qualifying Length,QualifyingLength,5,FALSE,TRUE,Medium Length Qualifying Sessions,PSG_10004399,Qualifying sessions last {RuleSessionLength}.,PSG_10006429,Source = QualifyingSessions,Qualifying(Medium),,,TeamQualityAverage,TeamQualityLow
Qualifying Length,QualifyingLength,6,FALSE,TRUE,Long Qualifying Sessions,PSG_10004400,Qualifying sessions last {RuleSessionLength}.,PSG_10006430,Source = QualifyingSessions,Qualifying(Long),,,TeamQualityHigh,TeamQualityLow
Race Length,RaceLength,7,FALSE,TRUE,Short Races,PSG_10004401,Races are {RuleRaceLength} long (around {RuleRaceAverageLaps} laps on an average track),PSG_10006431,Source = RaceSessions,Race(Short),,,TeamQualityLow,TeamQualityHigh
Race Length,RaceLength,8,FALSE,TRUE,Medium Length Races,PSG_10004402,Races are {RuleRaceLength} long (around {RuleRaceAverageLaps} laps on an average track),PSG_10006432,Source = RaceSessions,Race(Medium),,,TeamQualityAverage,TeamQualityLow
Race Length,RaceLength,9,FALSE,TRUE,Long Races,PSG_10004403,Races are {RuleRaceLength} long (around {RuleRaceAverageLaps} laps on an average track),PSG_10006433,Source = RaceSessions,Race(Long),,,TeamQualityHigh,TeamQualityLow
Tracks,Tracks,10,FALSE,TRUE,Changing {RuleOldCircuitNameAndLayout} to layout {RuleNewLayout},PSG_10004404,"{RuleOldCircuitNameAndLayout} will be changed to use layout {RuleNewLayout}, impacting some of the track characteristics.",PSG_10006434,Source = TrackLayoutChangeVote,"ChangeTrackLayout(Random,Random)",,,NewLayoutStatsFavourable,NewLayoutStatsUnfavourable
Tracks,Tracks,11,FALSE,TRUE,Swapping {RuleOldTrack} with {RuleNewTrack},PSG_10004405,"{RuleOldTrack} will be replaced by {RuleNewTrack}, taking its place in the calendar for next season.",PSG_10006435,Source = TrackChangeVote,"ReplaceTrack(Random,Random)",,,NewTrackStatsFavourable,OldTrackStatsFavourable
Tracks,Tracks,12,FALSE,TRUE,"Addition of {RuleNewCircuitNameAndLayout} ",PSG_10004406,"{RuleNewTrack} will be added to the calendar, taking place in week {RuleNewTrackWeekNumber}.",PSG_10006436,Source = TrackChangeVote,AddLayout(Random),,,TrackStatsFavourable,TrackStatsUnfavourable
Tracks,Tracks,13,FALSE,TRUE,Addition of {RuleNewTrack},PSG_10006400,"{RuleNewTrack} will be added to the calendar, taking place in week {RuleNewTrackWeekNumber}.",PSG_10006437,Source = TrackChangeVote,AddTrack(Random),,,TrackStatsFavourable,TrackStatsUnfavourable
Tracks,Tracks,14,FALSE,TRUE,Removal of {RuleOldTrack},PSG_10004407,{RuleOldTrack} will be removed from the calendar. Week {RuleOldTrackWeekNumber} will now be empty.,PSG_10006438,Source = TrackRemovalVote,RemoveTrack(Random),,,OldTrackStatsUnfavourable,OldTrackStatsFavourable
Pit Stops,PitStops,15,FALSE,TRUE,50mph Pitlane Speed Limit,PSG_10004409,"Pit stops are normal speed, meaning that cars are able to make pit stops at an average speed. This may aid cars with worse tyre wear rates.",PSG_10006439,Source = LowPitSpeedLimit,PitlaneSpeed(50),,,Traditionalist,Progressive
Pit Stops,PitStops,16,FALSE,TRUE,70mph Pitlane Speed Limit,PSG_10004408,"Pit stops will become much faster, meaning that cars are able to make pit stops at a reduced time cost. This may aid cars with worse tyre wear rates.",PSG_10006440,Source = HighPitSpeedLimit,PitlaneSpeed(70),,,Progressive,Traditionalist
Pit Stops Crews,PitStopsCrews,117,FALSE,TRUE,Sequential Pit Stops (Small),PSG_10013531,"Pit stop events will happen sequentially, leading to slower pit stops.",PSG_10006441,Source = SmallPitCrews,PitStopCrew(Small),,,TeamBudgetLow,TeamBudgetHigh
Pit Stops Crews,PitStopsCrews,17,FALSE,TRUE,Semi-Sequential Pit Stops (Small),PSG_10006070,"Pit stop events will happen sequentially, leading to slower pit stops.",PSG_10013532,Source = EndurancePitCrews,PitStopCrew(SemiSequential),,,TeamBudgetLow,TeamBudgetHigh
Pit Stops Crews,PitStopsCrews,18,FALSE,TRUE,Simultaneous Pit Stops (Large),PSG_10006071,"Pit stop events can happen simultaneously, leading to faster pit stops.",PSG_10006442,Source = LargePitCrews,PitStopCrew(Large),,,TeamBudgetHigh,TeamBudgetLow
Prize Money,PrizeMoney,19,FALSE,TRUE,Very High Merit Payments,PSG_10004410,There is a £100m difference in prize money between the top and bottom teams.,PSG_10006443,Source = MeritPayments,"PrizePoolCashGap(VeryHigh,30,InQuad)",,,TeamPositionHigh,TeamPositionLow
Prize Money,PrizeMoney,20,FALSE,TRUE,High Merit Payments,PSG_10004411,There is a £75m difference in prize money between the top and bottom teams.,PSG_10006444,Source = MeritPayments,"PrizePoolCashGap(High,17.5,InSin)",,,TeamPositionHigh,TeamPositionAverage
