"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Days","","","HUDText","Monday","PSG_10000008","","","","","","","Lundi","Lunedì","Montag","Lunes","Segunda-feira","maandag","Hétfő","Poniedziałek","Понедельник"
"Days","","","HUDText","Tuesday","PSG_10000010","","","","","","","Mardi","Martedì","Dienstag","Martes","Terça-feira","dinsdag","Kedd","Wtorek","Вторник"
"Days","","","HUDText","Wednesday","PSG_10000011","","","","","","","Mercredi","Mercoledì","Mittwoch","Miércoles","Quarta-feira","woensdag","Szerda","Środa","Среда"
"Days","","","HUDText","Thursday","PSG_10000697","","","","","","","Jeudi","Giovedì","Donnerstag","Jueves","Quinta-feira","donderdag","Csütörtök","Czwartek","Четверг"
"Days","","","HUDText","Friday","PSG_10000698","","","","","","","Vendredi","Venerdì","Freitag","Viernes","Sexta-feira","vrijdag","Péntek","Piątek","Пятница"
"Days","","","HUDText","Saturday","PSG_10000811","","","","","","","Samedi","Sabato","Samstag","Sábado","Sábado","zaterdag","Szombat","Sobota","Суббота"
"Days","","","HUDText","Sunday","PSG_10000812","","","","","","","Dimanche","Domenica","Sonntag","Domingo","Domingo","zondag","Vasárnap","Niedziela","Воскресенье"
"Months","","","HUDText","January","PSG_10000813","","","","","","","Janvier","Gennaio","Januar","Enero","Janeiro","januari","Január","Styczeń","Январь"
"Months","","","HUDText","February","PSG_10000814","","","","","","","Février","Febbraio","Februar","Febrero","Fevereiro","februari","Február","Luty","Февраль"
"Months","","","HUDText","March","PSG_10000815","","","","","","","Mars","Marzo","März","Marzo","Março","maart","Március","Marzec","Март"
"Months","","","HUDText","April","PSG_10000816","","","","","","","Avril","Aprile","April","Abril","Abril","april","Április","Kwiecień","Апрель"
"Months","","","HUDText","May","PSG_10000817","","","","","","","Mai","Maggio","Mai","Mayo","Maio","mei","Május","Maj","Май"
"Months","","","HUDText","June","PSG_10000818","","","","","","","Juin","Giugno","Juni","Junio","Junho","juni","Június","Czerwiec","Июнь"
"Months","","","HUDText","July","PSG_10000819","","","","","","","Juillet","Luglio","Juli","Julio","Julho","juli","Július","Lipiec","Июль"
"Months","","","HUDText","August","PSG_10000820","","","","","","","Août","Agosto","August","Agosto","Agosto","augustus","Augusztus","Sierpień","Август"
"Months","","","HUDText","September","PSG_10000821","","","","","","","Septembre","Settembre","September","Septiembre","Setembro","september","Szeptember","Wrzesień","Сентябрь"
"Months","","","HUDText","October","PSG_10000822","","","","","","","Octobre","Ottobre","Oktober","Octubre","Outubro","oktober","Október","Październik","Октябрь"
"Months","","","HUDText","November","PSG_10000823","","","","","","","Novembre","Novembre","November","Noviembre","Novembro","november","November","Listopad","Ноябрь"
"Months","","","HUDText","December","PSG_10000824","","","","","","","Décembre","Dicembre","Dezember","Diciembre","Dezembro","december","December","Grudzień","Декабрь"
"Months - Abbreviated","","","HUDText","Jan","PSG_10000826","","","","","","","Jan","Gen","Jan","Ene","Jan","jan","Jan.","Sty","Янв"
"Months - Abbreviated","","","HUDText","Feb","PSG_10000825","","","","","","","Fév","Feb","Feb","Feb","Fev","feb","Feb.","Lut","Фев"
"Months - Abbreviated","","","HUDText","Mar","PSG_10000827","","","","","","","Mars","Mar","Mär","Mar","Mar","mrt","Márc.","Mar","Мар"
"Months - Abbreviated","","","HUDText","Apr","PSG_10000828","","","","","","","Avr","Apr","Apr","Abr","Abr","apr","Ápr.","Kwi","Апр"
"Months - Abbreviated","","","HUDText","May","PSG_10000829","","","","","","","Mai","Mag","Mai","May","Mai","mei","Máj.","Maj","Май"
"Months - Abbreviated","","","HUDText","Jun","PSG_10000830","","","","","","","Juin","Giu","Jun","Jun","Jun","jun","Jún.","Cze","Июн"
"Months - Abbreviated","","","HUDText","Jul","PSG_10000831","","","","","","","Jul","Lug","Jul","Jul","Jul","jul","Júl.","Lip","Июл"
