"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"SessionHUD","","","HUDText","Countdown to Race","PSG_10000377","","","","","","","Compte à rebours avant la course","Conto alla rovescia per la gara","Countdown bis Rennen","Cuenta atrás hasta la carrera","Contagem para a largada","Aftellen tot race","Visszaszámlálás a versenyig","Odliczanie do wyścigu","Отсчет до гонки"
"SessionHUD","","","HUDText","Pitlane","PSG_10000378","","","","","","","Allée des stands","Corsia box","Boxengasse","Pitlane","Pit lane","Pitstraat","Bokszutca","Aleja serwisowa","Пит-лейн"
"SessionHUD","","","HUDText","Closed","PSG_10000379","","","","","","","Ouverte","Chiusa","Geschlossen","Cerrado","Fechada","Gesloten","Zárva","Zamknięta","Закрыт"
"SessionHUD","","","HUDText","Open","PSG_10000380","","","","","","","Fermée","Aperta","Offen","Abierto","Aberta","Open","Nyitva","Otwarta","Открыт"
"SessionHUD","","","HUDText","Q1","PSG_10000381","","","","","","","Q1","Q1","Q1","Q1","Q1","K1","Q1","Kw. 1","Q1"
"SessionHUD","","","HUDText","Q2","PSG_10000382","","","","","","","Q2","Q2","Q2","Q2","Q2","K2","Q2","Kw. 2","Q2"
"SessionHUD","","","HUDText","Q3","PSG_10000383","","","","","","","Q3","Q3","Q3","Q3","Q3","K3","Q3","Kw. 3","Q3"
"SessionHUD","","","HUDText","Practice","PSG_10000384","","","","","","","Essais libres","Prove libere","Training","Entrenamiento","Treino","Oefening","Szabadedzés","Trening","Тренировка"
"SessionHUD","","","HUDText","Race","PSG_10000385","","","","","","","Course","Gara","Rennen","Carrera","Corrida","Race","Verseny","Wyścig","Гонка"
"SessionHUD","","","HUDText","Feature Race","PSG_10000386","","","","","","","Finale","Gara principale","Hauptrennen","Carrera principal","Corrida principal","Feature race","Nagyverseny","Pełny wyścig","Основной заезд"
"SessionHUD","","","HUDText","Quick Race","PSG_10000387","","","","","","","Course rapide","Gara veloce","Schnelles Rennen","Carrera rápida","Corrida rápida","Snelle race","Gyors verseny","Szybki wyścig","Быстрый заезд"
"SessionHUD","","","HUDText","Pitlane","PSG_10000388","","","","","","","Allée des stands","Corsia box","Boxengasse","Pitlane","Pit lane","Pitstraat","Bokszutca","Aleja serwisowa","Пит-лейн"
"SessionHUD","","","HUDText","Bring In","PSG_10000389","","","","","","","Rappeler au stand","Richiama","Hereinholen","Volver al box","Trazer de volta","Naar binnen halen","Behoz","Zjazd","На пит-стоп"
"SessionHUD","","","HUDText","Set Up","PSG_10000390","","","","","","","Réglages","Setup","Konfigurieren","Ajustes","Preparar","Configureren","Beállítás","Ustawienia","Подготовить"
"SessionHUD","","","HUDText","Now","PSG_10000391","","","","","","","Actuel","Ora","Jetzt","Actual","Agora","Nu","Most","Teraz","Сейчас"
"SessionHUD","","","HUDText","2 Mins","PSG_10000392","","","","","","","2 min.","2 minuti","2 Min.","2 min.","2 min","2 min","2 perc","2 min","2 мин."
"SessionHUD","","","HUDText","5 Mins","PSG_10000393","","","","","","","5 min.","5 minuti","5 Min.","5 min.","5 min","5 min","5 perc","5 min","5 мин."
"SessionHUD","","","HUDText","10 Mins","PSG_10000395","","","","","","","10 min.","10 minuti","10 Min.","10 min.","10 min","10 min","10 perc","10 min","10 мин."
"SessionHUD","","","HUDText","Track Temp","PSG_10000396","","","","","","","Eau sur la piste","Temperatura asfalto","Streckentemperatur","Temperatura en la pista","Temperatura da pista","Baantemp","Nedvesség a pályán","Temperatura na torze","Температура трассы"
"SessionHUD","","","HUDText","Water on Track","PSG_10003653","","","","","","","Eau sur la piste","Acqua sul tracciato","Wasser auf Strecke","Agua en la pista","Água na pista","Water op circuit","Víz a pályán","Wilgotność toru","Вода на трассе"
"SessionHUD","","","HUDText","Dry","PSG_10004878","","","","","","","Sec","Asciutto","Trocken","Seca","Seca","Droog","Száraz","Sucho","Сухая"
