"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Tutorial","Buttons","Type=Button","Assistant","Got it!","PSG_10003346","","Order=0; Control=Continue","","","","","Bien compris !","Ricevuto!","Verstanden!","¡Entendido!","Entendi!","Begrepen!","Vettem!","Rozumiem!","Ясно!"
"Tutorial","Buttons","Type=Button","Assistant","End Tutorial","PSG_10003364","","Order=1; Control=End","","","","","Terminer le didacticiel","Fine tutorial","Einführung beenden","Terminar tutorial","Fim do tutorial","Uitleg beëindigen","Oktatómód vége","Zakończ samouczek","Закончить обучение"
"Tutorial - HomeScreen","Welcome","Type=Header","Assistant","Tutorial","PSG_10003401","Type=Body0","Order=0;","","","","","Didacticiel","Tutorial","Einführung","Tutorial","Tutorial","Uitleg","Oktatómód","Samouczek","Обучение"
"Tutorial - HomeScreen","Welcome","Type=Body0","Assistant","Welcome to Motorsport Manager!

You are now a Team Principal in the exciting world of single seater racing. Crikey!

I'm Roger and I'm here to help you around the game, explaining everything you need to know to become a motorsport legend!

If you ever need to find a tutorial, click on the <b>i</b> button at the top of the screen.
","PSG_10003393","Source=Navigation","","","","","","<gender^Player=F>
Bienvenue dans Motorsport Manager ! 

Vous incarnez la directrice générale d'une écurie dans le monde palpitant des courses automobiles ! 

Je m'appelle Nigel et je vais vous aider à découvrir le jeu en vous expliquant tout ce que vous devez savoir pour devenir une légende du sport automobile ! 

Si vous avez besoin de revoir un didacticiel, vous pouvez cliquer à tout moment sur le bouton <b>i</b> en haut de l'écran.
</gender>
<gender^Player=M>
Bienvenue dans Motorsport Manager ! 

Vous incarnez le directeur général d'une écurie dans le monde palpitant des courses automobiles ! 

Je m'appelle Nigel et je vais vous aider à découvrir le jeu en vous expliquant tout ce que vous devez savoir pour devenir une légende du sport automobile ! 

Si vous avez besoin de revoir un didacticiel, vous pouvez cliquer à tout moment sur le bouton <b>i</b> en haut de l'écran.
</gender>
","Ti do il benvenuto su Motorsport Manager!

Stai per provare l'ebbrezza di diventare manager nell'emozionante mondo delle monoposto!

Io sono Nigel, e sono qui per aiutarti a familiarizzare con il gioco e per insegnarti tutto ciò che ti serve per diventare una leggenda dell'automobilismo!

Se hai bisogno di ripassare qualche tutorial, clicca sul pulsante <b>i</b> in cima allo schermo.","Willkommen zu Motorsport Manager!

Sie leiten jetzt ein Team in der spannenden Welt der Einsitzer-Rennen. Nicht schlecht!

Mein Name ist Nigel. Ich werde Ihnen alles Wissenswerte erläutern, damit Sie eine echte Motorsportlegende werden!

Wenn Sie eine Einführung brauchen, klicken Sie einfach auf die Schaltfläche <b>i</b> am oberen Bildschirmrand.","<gender^Player=F>
¡Bienvenida a Motorsport Manager!

Eres la directora de un equipo del emocionante mundo de las carreras de monoplazas. ¡Vaya!

Me llamo Nigel y te ayudaré a familiarizarte con el juego. ¡Te voy a explicar todo lo que debes saber para convertirte en una leyenda del automovilismo!

Si necesitas consultar algún tutorial, haz clic en el botón <b>i</b>, en la parte superior de la pantalla.
</gender>
<gender^Player=M>
¡Bienvenido a Motorsport Manager!

Eres el director de un equipo del emocionante mundo de las carreras de monoplazas. ¡Vaya!

Me llamo Nigel y te ayudaré a familiarizarte con el juego. ¡Te voy a explicar todo lo que debes saber para convertirte en una leyenda del automovilismo!

Si necesitas consultar algún tutorial, haz clic en el botón <b>i</b>, en la parte superior de la pantalla.
</gender>
","Boas-vindas ao Motorsport Manager!

Você agora lidera uma equipe no emocionante mundo das corridas. Demais!

Eu sou Nigel e estou aqui para te ajudar no jogo, explicando tudo que você precisa saber para se tornar uma lenda do mundo do automobilismo!

Se você precisar encontrar um tutorial, clique no botão <b>i</b> no topo da tela.","Welkom bij Motorsport Manager!

Je bent nu een teamhoofd in de spannende wereld van single-seater racing. Crikey!

Ik ben Nigel, en ik ben hier om je te helpen in het spel en alles uit te leggen wat je moet weten om een motorsportlegende te worden!

Als je ooit uitleg nodig hebt, klik je op de knop <b>i</b> boven in het scherm.","Üdv a Motorsport Managerben!

Az együléses versenyautók izgalmas világában egy Csapatigazgató vagy. Ejha!

A nevem Nigel, és azért vagyok itt, hogy segítselek a játékban, elmagyarázzak mindent, amit tudnod kell ahhoz, hogy az autóversenyzés legendája lehess!

Ha valamikor szükséged lesz az oktatómódra, kattints az <b>i</b> gombra a képernyő tetején.
","Witaj w grze Motorsport Manager!

Otrzymujesz posadę szefa zespołu w ekscytującym świecie wyścigów samochodowych. Hej!

Mam na imię Nigel i jestem tu, by pomóc ci w grze, wyjaśniając wszystko, co musisz wiedzieć, by stać się legendą sportów motorowych!

Jeśli kiedykolwiek zechcesz skorzystać z samouczka, kliknij przycisk <b>i</b> na górze ekranu.
","Добро пожаловать в игру Motorsport Manager!

Вы теперь руководитель гоночной команды в увлекательном мире гонок одноместных болидов. С ума сойти!

Я Найджел, и моя задача - помочь вам разобраться с игрой и рассказать все, что вам нужно знать, чтобы стать легендой автоспорта.

Если вам понадобится открыть окно обучения, нажмите кнопку <b>i</b> в верхней части экрана."
"Tutorial - HomeScreen","Navigation","Type=Header","Assistant","Navigation","PSG_10003394","Type=Body0","Order=1","","","","","Navigation","Navigazione","Navigation","Desplazamientos","Navegação","Navigatie","Navigálás","Nawigacja","Навигация"
"Tutorial - HomeScreen","Navigation","Type=Body0","Assistant","Your team is made up of loads of different elements: people, buildings and, of course, the cars. 

There are a series of buttons on the bottom bar which allow you to navigate to these areas.

You can also click on certain elements within a screen (eg. Driver names and Team names) to navigate directly to them.","PSG_10003395","Source=Time","","","","","","Votre écurie est constituée de nombreux éléments : employés, bâtiments et, bien entendu, voitures. 

Une série de boutons se trouve en bas de l'écran pour vous permettre de naviguer d'un de ces aspects à un autre. 

Vous pouvez également cliquer sur certains éléments à l'écran pour accéder directement à leurs informations (pour les pilotes ou les écuries par exemple).","La tua squadra è formata da molti elementi diversi: persone, edifici e, ovviamente, vetture.

Sulla barra in fondo allo schermo trovi una serie di pulsanti che ti permettono di navigare tra queste aree.

Puoi anche cliccare su alcuni elementi nelle varie schermate (per esempio sui nomi dei piloti e delle squadre) per visualizzarli direttamente.","Ihr Team setzt sich aus verschiedenen Komponenten zusammen: Gebäude, Mitarbeiter und natürlich Fahrzeuge.

Auf der Leiste am unteren Bildschirmrand finden Sie mehrere Schaltflächen, mit denen Sie die entsprechenden Bereiche aufrufen.

Sie können auch auf bestimmte Bildschirmelemente (z. B. Fahrernamen und Teamnamen) klicken, um direkt zu diesen zu wechseln.","Tu equipo se compone de muchos elementos diferentes: gente, edificios y, naturalmente, coches. 

Hay diversos botones en la barra inferior que te permiten desplazarte por ellos.

También puedes hacer clic en algunos elementos que aparecen en pantalla, como nombres de pilotos o equipos, para ir directamente a ellos.","Sua equipe é composta por diversos elementos diferentes: pessoas, locais e, é claro, os carros.

Existe uma série de botões na barra inferior que permitem a navegação por essas áreas.

Você também pode clicar em certos elementos em uma tela (por exemplo, nomes de pilotos e equipes) para ir direto até eles.","Je team bestaat uit talloze elementen: mensen, gebouwen en natuurlijk de wagens. 

Je ziet een serie knoppen op de onderste balk waarmee je naar deze gebieden kunt navigeren.

Je kunt ook op bepaalde elementen in een scherm (bijvoorbeeld coureursnamen en teamnamen) klikken om er direct naartoe te navigeren.","A csapatod számos elemből áll: emberekből, épületekből és persze autókból. 

Az alsó sávban egy sor gomb segítségével navigálhatsz ezek között a területek között. 

A képernyőn belül is rákattinthatsz bizonyos elemekre (pl. Versenyzők és Csapatok nevei), így közvetlenül oda tudsz navigálni.","Oprócz swojego zespołu posiadasz także różne elementy, takie jak budynki o różnym przeznaczeniu czy samochody.

Na dole ekranu znajdziesz przyciski, które umożliwią ci sprawne przemieszczanie się pomiędzy tymi elementami.

Możesz także klikać niektóre elementy na ekranie (np. imiona kierowców czy nazwy zespołów), by przenosić się bezpośrednio do odpowiadających im okien.","Ваша команда - совокупность нескольких составляющих: людей, зданий, и, конечно же, болидов.

На нижней панели находятся кнопки для перехода в соответствующие окна.

Можно также перемещаться в нужные окна, нажимая на определенные элементы интерфейса (например, имена пилотов или название команды)."
"Tutorial - HomeScreen","Time","Type=Header","Assistant","Time","PSG_10003430","Type=Body0","Order=2","","","","","Temps","Tempo","Zeit","Tiempo","Tempo","Tijd","Idő","Czas","Время"
"Tutorial - HomeScreen","Time","Type=Body0","Assistant","Everything you do in Motorsport Manager takes time!

The controls in the top-right of the screen show the current time and date. 

You can control the passage of time by clicking the play or pause buttons.

Clicking on the <b>Continue</b> button will fast-forward time until the next important event. ","PSG_10003431","Source=Calendar","","","","","","Tout ce que vous ferez dans Motorsport Manager demandera du temps ! 

La date et l'heure actuelles sont affichées en haut à droite de l'écran. 

Vous pouvez modifier l'écoulement du temps en appuyant sur les boutons lecture ou pause. 

Cliquer sur le bouton <b>Continuer</b> fera défiler le temps jusqu'au prochain événement majeur. ","Ogni tua azione in Motorsport Manager richiede tempo!

I comandi nella parte superiore destra dello schermo mostrano data e ora attuale.

Puoi controllare lo scorrere del tempo cliccando sui pulsanti di riproduzione e di pausa.

Clicca sul pulsante <b>Continua</b> per avanzare fino al successivo evento importante. ","Alles, was Sie in Motorsport Manager tun, braucht seine Zeit!

Am rechten oberen Bildschirmrand sehen Sie Datum und Uhrzeit.

Per Klick auf die Wiedergabe- oder Pause-Schaltfläche lassen Sie die Uhr laufen und halten sie wieder an.

Über die Schaltfläche <b>Weiter</b> starten Sie den schnellen Vorlauf und springen zum nächsten wichtigen Ereignis. ","¡Todo lo que hagas en Motorsport Manager requerirá tiempo!

Los controles de la parte superior derecha de la pantalla muestran la fecha y la hora actuales. 

Puedes controlar el paso del tiempo haciendo clic en los botones de reproducir y pausar.

Haz clic en el botón <b>Continuar</b> para avanzar directamente al siguiente evento importante. ","Tudo que você faz em Motorsport Manager leva tempo!

Os controles no canto superior direito da tela mostram a hora e data atual.

Você pode controlar a passagem do tempo clicando nos botões para prosseguir ou pausar.

Clicar no botão <b>Continuar</b> irá acelerar o tempo até o próximo evento importante. ","Alles wat je doet in Motorsport Manager kost tijd!

Rechtsboven in het scherm worden de huidige tijd en datum weergegeven. 

Je kunt het verloop van de tijd aansturen door op de start- of pauzeknoppen te drukken.

Als je op de knop <b>Doorgaan</b> klikt, wordt de tijd vooruitgespoeld naar de volgende belangrijke gebeurtenis.","Minden, amit a Motorsport Managerben teszel, időbe kerül!

A képernyő jobb felső részén látható vezérlőberendezés mutatja az aktuális időt és dátumot. 

Az idő múlását a lejátszás vagy a szünet gombokra kattintva irányíthatod. 

A <b>Folytatás</b> gombra kattintva előretekered az időt a következő fontos eseményig. 
","Wszystko, co robisz w grze Motorsport Manager, wymaga czasu!

Aktualna data i godzina wyświetlana jest w prawym górnym rogu ekranu. 

Możesz kontrolować upływ czasu, klikając przyciski „start” i „pauza”.

Kliknij przycisk <b>Kontynuuj</b>, aby przyspieszyć czas i przejść do kolejnego ważnego wydarzenia. ","На все ваши действия в игре Motorsport Manager уходит время!

В правом верхнем углу экрана показана текущая дата и время.

Чтобы контролировать ход времени, нажимайте кнопки паузы и воспроизведения.

При нажатии на кнопку <b>Продолжить</b> произойдет прокрутка времени до следующего важного события."
"Tutorial - HomeScreen","Calendar","Type=Header","Assistant","Calendar","PSG_10003477","Type=Body0","Order=3","","","","","Calendrier","Calendario","Kalender","Calendario","Calendário","Kalender","Naptár","Kalendarz","Календарь"
"Tutorial - HomeScreen","Calendar","Type=Body0","Assistant","When you press the <b>Continue</b> button, the Calendar widget drops down.

Important events are automatically scheduled in, and the game will pause when these events take place.

You can adjust which events are set to automatically pause the game by pressing the <b>Customise Pausing</b> button within the Calendar widget.","PSG_10003478","","","","","","","Quand vous appuyez sur le bouton <b>Continuer</b>, le calendrier s'affiche. 

Les événements importants sont automatiquement ajoutés au calendrier et le jeu se mettra en pause aux dates indiquées. 

Vous pouvez paramétrer la mise en pause automatique du jeu en appuyant sur le bouton <b>Paramétrer la pause</b> du calendrier.","Cliccando sul pulsante <b>Continua</b>, apparirà lo strumento Calendario.

Gli eventi importanti vengono registrati automaticamente sul Calendario e il gioco andrà in pausa quando questi eventi si verificano.

Puoi decidere quali eventi mettono automaticamente il gioco in pausa cliccando sul pulsante <b>Imposta pausa</b> dallo strumento Calendario.","Nach einem Klick auf <b>Weiter</b> wird das Kalender-Widget aktiviert.

Wichtige Ereignisse werden darin automatisch eingetragen und das Spiel hält an, sobald diese stattfinden.

Klicken Sie auf die Schaltfläche <b>Pausieren anpassen</b> innerhalb des Kalender-Widgets, um festzulegen, bei welchen Ereignissen das Spiel automatisch anhalten soll.","Al pulsar el botón <b>Continuar</b>, se desplegará el calendario.

Los eventos importantes se anotan automáticamente, y el juego se pausará cuando tengan lugar.

Puedes ajustar qué eventos pausan automáticamente el juego pulsando el botón <b>Personalizar pausas</b> del calendario.","Quando você aperta o botão <b>Continuar</b>, o aplicativo do calendário aparece.

Eventos importantes são automaticamente marcados, e o jogo irá pausar quando estes eventos forem acontecer.

Você pode ajustar quais eventos são configurados para pausar automaticamente o jogo, apertando o botão <b>Personalizar pausa</b> dentro do aplicativo do calendário.","Als je op de knop <b>Doorgaan</b> klikt, wordt de kalenderwidget uitgeklapt.

Belangrijke evenementen worden automatisch ingepland, en het spel pauzeert als deze evenementen plaatsvinden.

Je kunt aanpassen welke evenementen het spel automatisch pauzeren door op de knop <b>Pauzes aanpassen</b> in de kalenderwidget te drukken.","A <b>Folytatás</b> gomb lenyomásával legördül a Naptár modul.

A fontos események automatikusan beírásra kerülnek, és a játék megáll, amikor ezek az események zajlanak.

Beállíthatod, hogy milyen eseményeknél álljon meg automatikusan a játék, a <b>Szünet testreszabása</b> gomb lenyomásával a Naptár modulban.
","Gdy klikniesz przycisk <b>Kontynuuj</b>, pojawi się panel kalendarza.

Ważne wydarzenia są zapisywane automatycznie, a gdy nadejdzie ich czas, gra się zatrzyma.

Możesz wybrać, które wydarzenia będą zatrzymywać grę, wciskając przycisk <b>Dostosuj pauzę</b> na panelu kalendarza.","При нажатии на кнопку <b>Продолжить</b> открывается окно календаря.

В календарь автоматически заносятся важные события, и при их наступлении игра ставится на паузу.

Нажав кнопку <b>Настройка паузы</b>, можно выбрать, какие события будут автоматически ставить игру на паузу."
