"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Pre-Practice Tweets","PreSessionTweet","SessionType = Practice","MediaPerson","{FavouriteTeam:Name} must be the ones to beat this weekend, surely? ","PSG_10002579","","","True","","","","{FavouriteTeam:Name} sera certainement l'écurie à battre ce week-end, non ?","Quindi, stavolta bisogna battere quelli della {FavouriteTeam:Name}? ","{FavouriteTeam:Name} gilt an diesem Wochenende als absoluter Favorit! ","{FavouriteTeam:Name} son el equipo a batir este fin de semana, no me cabe duda. ","A {FavouriteTeam:Name} deve ser uma das vencedoras desse fim de semana, não? ","{FavouriteTeam:Name} moeten dit weekend wel winnen, of niet? ","Szinte biztos, hogy a(z) {FavouriteTeam:Name} csapatot kell ezen a hétvégén legyőzni, nem?","{FavouriteTeam:Name} to zapewne faworyt tego weekendu, prawda? ","В этом уикенде надо победить команду {FavouriteTeam:Name}, ведь так?"
"Pre-Practice Tweets","PreSessionTweet","SessionType = Practice","MediaPerson","{TrackSuitsTeam:Name} are looking excited about their prospects this weekend. The track layout really suits their car.","PSG_10002580","","","True","","","","{TrackSuitsTeam:Name} semble avoir hâte d'en découdre ce week-end. Leur voiture semble très adaptée au circuit.","Quelli della {TrackSuitsTeam:Name} sono parecchio carichi per la gara di questo weekend. Il tracciato è perfetto per la loro auto.","{TrackSuitsTeam:Name} malt sich für dieses Wochenende gute Chancen aus, denn die Streckenführung ist wie für ihr Fahrzeug gemacht.","Los de {TrackSuitsTeam:Name} parecen muy optimistas con sus previsiones para este fin de semana. El trazado de la pista encaja muy bien con su coche.","A {TrackSuitsTeam:Name} está parecendo animada com suas perspectivas do fim de semana. A pista realmente combina com o carro.","{TrackSuitsTeam:Name} zijn hoopvol over hun vooruitzichten dit weekend. De baanindeling past echt bij hun wagen.","A(z) {TrackSuitsTeam:Name} izgatottan várja a hétvégi fejleményeket. A pálya elrendezése igazán fekszik az autójuknak.","Zespół {TrackSuitsTeam:Name} wygląda na podekscytowany wizją tego weekendu. Układ toru świetnie odpowiada ustawieniu ich samochodu.","В команде {TrackSuitsTeam:Name} все питают большие надежды на этот уикенд. Трасса идеально подходит к их болиду."
"Pre-Practice Tweets","PreSessionTweet","SessionType = Practice","MediaPerson","I don't much fancy {TrackDoesNotSuitTeam:Name}'s chances this weekend. Their car really isn't designed for this type of track.","PSG_10002581","","","True","","","","Je ne pense pas que {TrackDoesNotSuitTeam:Name} l'emportera ce week-end. Leur voiture n'a pas été conçue pour ce genre de circuit.","Non credo che la {TrackDoesNotSuitTeam:Name} abbia molte possibilità stavolta. La loro auto non è adatta a questo tipo di pista.","Ich gebe {TrackDoesNotSuitTeam:Name} an diesem Wochenende nicht allzu viele Chancen. Ihr Fahrzeug ist für diese Art Strecke einfach nicht gemacht.","No creo que los de {TrackDoesNotSuitTeam:Name} tengan muchas probabilidades este fin de semana. Su coche no está diseñado para este tipo de circuito.","Não gosto muito das chances da {TrackDoesNotSuitTeam:Name} neste fim de semana. O carro deles não foi feito para esse tipo de pista.","Ik geef {TrackDoesNotSuitTeam:Name} dit weekend niet veel kans. Hun wagen is niet echt geschikt voor dit type baan.","Nem sok esélyt adok a(z) {TrackDoesNotSuitTeam:Name} csapatnak ezen a hétvégén. Az autójuk nem igazán erre a pályatípusra van kitalálva.","Nie wydaje mi się, by zespół {TrackDoesNotSuitTeam:Name} miał jakieś szanse w ten weekend. Ich samochód nie został zaprojektowany do jazdy po tym torze.","Я невысокого мнения о шансах команды {TrackDoesNotSuitTeam:Name} на этот уикенд. Их болид для такой трассы попросту не предназначен."
"Pre-Practice Tweets","PreSessionTweet","CrucialStatForTrack = TopSpeed","MediaPerson","Setting up the car for {CurrentCircuit:Name} is all about maximising top speed. {BestTopSpeedTeam} must be licking their lips this weekend!","PSG_10002582","","","True","","","","Si nous voulons optimiser notre voiture pour le circuit {CurrentCircuit:Name}, nous devons favoriser la vitesse de pointe. {BestTopSpeedTeam} doit s'en réjouir d'avance !","La scelta migliore per {CurrentCircuit:Name} è aumentare la velocità massima. Quelli della {BestTopSpeedTeam} staranno già festeggiando!","Fahrzeuge für {CurrentCircuit:Name} brauchen nur eins: die maximale Höchstgeschwindigkeit. Die Leute von{BestTopSpeedTeam} freuen sich an diesem Wochenende bestimmt ein Loch in den Bauch!","Al ajustar el coche para {CurrentCircuit:Name}, lo más importante es la velocidad máxima. ¡Los de {BestTopSpeedTeam} estarán contentos!","Preparar um carro para {CurrentCircuit:Name} é se focar unicamente na velocidade máxima. {BestTopSpeedTeam} deve estar lambendo os beiços nesse fim de semana!","De configuratie voor het {CurrentCircuit:Name}-circuit draait volledig om topsnelheid. {BestTopSpeedTeam} zullen dit weekend hun vingers wel aflikken!","{CurrentCircuit:Name}: erre a pályára úgy kell felkészíteni az autót, hogy csak a végsebesség számít. A(z) {BestTopSpeedTeam} már biztos előre nyalogatja a szája szélét!","W ustawieniu samochodu pod tor {CurrentCircuit:Name} chodzi wyłącznie o maksymalną prędkość. Zespół {BestTopSpeedTeam} zapewne już zaciera ręce!","В подготовке болида для трассы {CurrentCircuit:Name} главное - повысить максимальную скорость. В команде {BestTopSpeedTeam} уже наверняка предвкушают победу!"
"Pre-Practice Tweets","PreSessionTweet","CrucialStatForTrack = Acceleration","MediaPerson","{CurrentCircuit:Name} really always seems to favour a car with strong acceleration out of the corners. It makes a huge difference here!","PSG_10003655","","","True","","","","Le circuit {CurrentCircuit:Name} demande une bonne accélération en sortie de virage. Cela fait une très grande différence sur cette piste !","A {CurrentCircuit:Name} è fondamentale uscire a tutta velocità dalle curve. È questo che fa la differenza!","{CurrentCircuit:Name} begünstigt eigentlich immer Fahrzeuge, die gut aus den Kurven beschleunigen können. Das ist hier der entscheidende Faktor!","Parece que en {CurrentCircuit:Name} siempre tienen ventaja los coches que aceleran mucho al salir de las curvas. ¡En ese circuito eso marca la diferencia!","{CurrentCircuit:Name} realmente parece sempre favorecer carros com forte aceleração ao sair das curvas. Faz uma grande diferença aqui!","Een wagen die sterk accelereert vanuit de bochten lijkt altijd een voordeel te hebben hier op het {CurrentCircuit:Name}-circuit. Dat maakt een enorm verschil hier!","{CurrentCircuit:Name}: ez a pálya szinte mindig azoknak az autóknak kedvez, amik jól ki tudnak gyorsítani a kanyarokból. És ez rettentően fog számítani!","Na torze {CurrentCircuit:Name} lepiej radzą sobie samochody z dobrym przyspieszeniem przy wychodzeniu z zakrętów. To ma tutaj ogromne znaczenie!","Трасса {CurrentCircuit:Name} особенно благоприятна для болидов с большим ускорением на выходе из поворота. Там от этого зависит все!"
"Pre-Practice Tweets","PreSessionTweet","CrucialStatForTrack = Braking","MediaPerson","{CurrentCircuit:Name} has always been a big test for a car's braking abilities, and I don't expect today to be any different.","PSG_10003656","","","True","","","","Le circuit {CurrentCircuit:Name} a toujours mis les freins des voitures à l'épreuve et il n'y a aucune raison que cela change.","{CurrentCircuit:Name} ha sempre messo a dura prova i freni delle auto, e immagino che oggi non sarà diverso.","{CurrentCircuit:Name} hat die Bremsen schon seit eh und je auf die Probe gestellt, und ich glaube, das wird heute nicht anders sein.","{CurrentCircuit:Name} siempre ha puesto a prueba la capacidad de frenada de los coches, y no creo que hoy sea una excepción.","{CurrentCircuit:Name} sempre testou bem as capacidades de frenagem dos carros, e não espero que hoje seja diferente.","Het {CurrentCircuit:Name}-circuit heeft het remvermogen van wagens altijd zwaar op de proef gesteld. Dat zal vandaag niet anders zijn.","{CurrentCircuit:Name}: ez a pálya mindig komoly próba elé állította az autók fékezési képességeit, és ma sem várok mást.","Tor {CurrentCircuit:Name} zawsze był wielkim sprawdzianem hamulców – nie oczekiwałbym, że dziś będzie inaczej.","Трасса {CurrentCircuit:Name} - это всегда суровое испытание для тормозов, и сегодняшний день вряд ли будет исключением."
"Pre-Practice Tweets","PreSessionTweet","CrucialStatForTrack = HighSpeedCorners","MediaPerson","There are plenty of exciting high speed corners on this track, which makes it a fan favourite. Might also help to indicate who's going to win, too!","PSG_10003657","","","True","","","","Ce circuit est très apprécié des fans pour ses virages à grande vitesse. Ces virages sont déterminants pour la victoire finale !","Questo tracciato è molto amato dal pubblico per le sue numerose curve ad alta velocità. Scommetto che saranno quelle a decidere chi vince!","Diese Strecke hat jede Mange spannende schnelle Kurven, das macht sie bei Fans beliebt. Vielleicht lässt sich daran auch der Sieger am heutigen Tage festmachen!","En este circuito hay muchas curvas rápidas, los aficionados lo adoran. ¡Y quizá también sirva de pista para saber quién va a ganar!","Há diversas curvas emocionantes de alta velocidade nessa pista, o que a torna uma favorita dos fãs. Também pode ajudar a indicar quem irá vencer!","Er zijn genoeg snelle bochten op dit circuit. Dat maakt deze baan geliefd bij de fans. Het kan tevens aangeven wie er gaat winnen!","Rengeteg izgalmas, gyorsan bevehető kanyar van ezen a pályán, éppen ettől a szurkolók kedvence. Még segíthet előre is jelezni, hogy ki fog nyerni!","Na tym torze jest wiele szybkich zakrętów, co sprawia, że fani go uwielbiają. Daje to też pogląd na to, kto może wygrać!","На этой трассе много захватывающих скоростных поворотов, из-за чего ее очень любят фанаты. Заодно сразу и видно, кто побеждает!"
"Pre-Practice Tweets","PreSessionTweet","CrucialStatForTrack = MedSpeedCorners","MediaPerson","The sweeping bends here in {CurrentCircuit:Name} means that the team with the best car around medium speed corners will be tough to beat.","PSG_10003658","","","True","","","","Les courbes du circuit {CurrentCircuit:Name} donnent la part belle aux voitures optimisées pour les virages à vitesse moyenne.","Le ampie curve di {CurrentCircuit:Name} favoriscono le squadre con le auto più performanti nelle sterzate a media velocità.","Die weitläufigen Kurven hier in {CurrentCircuit:Name} bedeuten, dass das Team mit den besten Fahrzeugen für mittelschnelle Kurven als Favorit gehandelt werden wird.","Las curvas abiertas de {CurrentCircuit:Name} favorecerán al equipo que tenga el mejor coche para curvas de velocidad media.","As diversas curvas aqui em {CurrentCircuit:Name} indicam que será mais difícil vencer equipes com os melhores carros para curvas de velocidade média.","De kronkelende bochten hier op het {CurrentCircuit:Name}-circuit zorgen ervoor dat het team met de beste wagen voor middelsnelle bochten lastig te verslaan zal zijn.","{CurrentCircuit:Name}: a pálya nagy ívű kanyarjai azt jelentik, hogy a legjobb közepes kanyarsebességű kocsikkal versenyző csapatot nehéz lesz megverni.","Sporo długich łuków na torze {CurrentCircuit:Name} sprawia, że zespół z samochodem, który najlepiej sobie radzi ze średniej prędkości zakrętami, będzie trudny do pokonania.","Здесь, на трассе {CurrentCircuit:Name}, столько изгибов, что сразу ясно - победит та команда, чей болид лучше проходит среднескоростные повороты."
"Pre-Practice Tweets","PreSessionTweet","CrucialStatForTrack = LowSpeedCorners","MediaPerson","With all the low speed corners around this track, the {BestLowSpeedCornersTeam} cars will be expected to do well!","PSG_10003659","","","True","","","","Les virages à faible vitesse de ce circuit avantageront certainement {BestLowSpeedCornersTeam}, ses voitures étant bien adaptées !","Con tutte le curve lente che ci sono in questo tracciato, le auto della {BestLowSpeedCornersTeam} si sentiranno a casa!","Bei den ganzen langsamen Kurven auf dieser Strecke kann man davon ausgehen, dass die Fahrzeuge von {BestLowSpeedCornersTeam} sich gut schlagen werden!","¡Con todas las curvas lentas de este circuito, se espera que los coches de {BestLowSpeedCornersTeam} se luzcan!","Com todas as curvas de baixa velocidade nessa pista, espera-se que os carros da {BestLowSpeedCornersTeam} se saiam bem!","Met alle langzame bochten op deze baan zullen de wagens van {BestLowSpeedCornersTeam} het goed doen!","Mivel ezen a pályán sok a kissebességű kanyar, a(z) {BestLowSpeedCornersTeam} autóitól jó eredmény várható!","Dzięki wielu wolnym zakrętom na tym torze samochody zespołu {BestLowSpeedCornersTeam} powinny sobie świetnie radzić!","На этой трассе столько низкоскоростных поворотов, что болиды команды {BestLowSpeedCornersTeam} обязательно будут на высоте!"
"Pre-Practice Tweets","PreSessionTweet","CrucialStatForTrack = TopSpeed","MediaPerson","It's a high speed circuit here at {CurrentCircuit:Name}. I'm guessing we'll see the teams running with very low downforce levels.","PSG_10002583","","","True","","","","{CurrentCircuit:Name} est un circuit à grande vitesse. Nous allons probablement voir de nombreuses équipes réduire la déportance de leurs voitures.","Quello di {CurrentCircuit:Name} è un circuito ad altissima velocità. Credo proprio che le squadre sceglieranno un carico aerodinamico molto basso.","{CurrentCircuit:Name} ist eine Hochgeschwindigkeitsstrecke, die Teams werden ihre Boliden also für niedrigen Abtrieb auslegen.","{CurrentCircuit:Name} es un circuito muy rápido. Supongo que veremos a los equipos competir con coches con muy poca carga aerodinámica.","{CurrentCircuit:Name} é um circuito de alta velocidade. Eu acredito que veremos as equipes correrem com níveis bem baixos de downforce.","Het {CurrentCircuit:Name}-circuit is een snelle baan. Volgens mij gaan de teams met een hele lage neerwaartse kracht rijden.","{CurrentCircuit:Name}: ez egy nagyon gyors pálya. Úgy sejtem, hogy nagyon alacsony leszorítóerővel küldik ki a csapatok az autóikat.","{CurrentCircuit:Name} to bardzo szybki tor. Sądzę, że zobaczymy sporo zespołów z niskimi ustawieniami siły docisku.","{CurrentCircuit:Name} - скоростная трасса. Надо полагать, болиды будут настроены на малую прижимную силу."
